날짜,cycle_raw,regime_raw,cycle_ma3,regime_smooth
2021-09-01,-0.44931970803199306,0,-0.4892187923022296,0
2021-10-01,-0.27693700012697775,0,-0.4161882815632841,0
2021-11-01,0.09496970087744216,1,-0.21042900242717621,0
2021-12-01,0.6665322455340714,1,0.16152164876151195,1
2022-01-01,1.2378817516049025,1,0.6664612326721387,1
2022-02-01,1.3091441938561985,1,1.0711860636650574,1
2022-03-01,1.1804359954975467,1,1.2424873136528827,1
2022-04-01,0.851863478317199,1,1.1138145558903148,1
2022-05-01,1.0235238558010735,1,1.0186077765386063,1
2022-06-01,1.095507768414393,1,0.9902983675108885,1
2022-07-01,1.3678979590618212,1,1.1623098610924292,1
2022-08-01,1.7407687176559392,1,1.4013914817107178,1
2022-09-01,1.8141837793411781,1,1.6409501520196461,1
2022-10-01,1.688193447404558,1,1.7477153148005584,1
2022-11-01,1.2628340268014853,1,1.5884037511824072,1
2022-12-01,0.5381287963033117,1,1.163052090169785,1
2023-01-01,0.014091290591650818,1,0.6050180378988159,1
2023-02-01,0.19073089211971705,1,0.2476503263382265,1
2023-03-01,0.6680568746116364,1,0.2909596857743348,1
2023-04-01,0.9460770401025798,1,0.6016216022779778,1
2023-05-01,1.0247940358678562,1,0.8796426501940241,1
2023-06-01,1.0042032092056274,1,0.9916914283920212,1
2023-07-01,0.6842920000527357,1,0.9044297483754065,1
2023-08-01,0.5650400998644614,1,0.7511784363742748,1
2023-09-01,0.4464219200651627,1,0.5652513399941199,1
2023-10-01,0.5284075122018663,1,0.5132898440438302,1
2023-11-01,0.610963483208053,1,0.528597638491694,1
2023-12-01,0.3940523627987318,1,0.5111411194028838,1
2024-01-01,0.4776319664644717,1,0.49421593749041887,1
2024-02-01,0.4616570691683535,1,0.444447132810519,1
2024-03-01,0.14607876044158274,1,0.361789265358136,1
2024-04-01,0.13084456764654817,1,0.24619346575216147,1
2024-05-01,-0.28409910900529667,0,-0.002391926972388584,0
2024-06-01,-0.39880687890574507,0,-0.18402047342149785,0
2024-07-01,-0.9133311593238744,0,-0.5320790490783054,0
2024-08-01,-1.0277212903152417,0,-0.7799531095149538,0
2024-09-01,-1.0420195646270969,0,-0.9943573380887377,0
2024-10-01,-0.7562603450584504,0,-0.942000400000263,0
2024-11-01,-1.2704699541339295,0,-1.0229166212731589,0
2024-12-01,-1.3846688790359565,0,-1.1371330594094455,0
