날짜,PC1,cycle_pc1,경기국면
2023-06-01,-5.134169125202257,-0.8061885581032486,0
2023-07-01,-4.859246345696959,-0.42631186278531175,0
2023-08-01,-4.73305737714094,-0.19588031040174148,0
2023-09-01,-4.740016743913574,-0.09925840659179119,0
2023-10-01,-4.909838249877878,-0.1661084250562066,0
2023-11-01,-5.023239643442924,-0.17709581815902276,0
2023-12-01,-5.027090021713747,-0.07903610525942728,0
2024-01-01,-4.920539053024518,0.12897598953433143,1
2024-02-01,-4.931796264768234,0.21878649290167296,1
2024-03-01,-4.84616942337196,0.4051421973028466,1
2024-04-01,-4.998588871994618,0.3531656302988626,1
2024-05-01,-4.97773276961898,0.4742283775296805,1
2024-06-01,-5.031613146706408,0.5203654281132293,1
2024-07-01,-4.974253148600126,0.6775969971159999,1
2024-08-01,-4.99168956948347,0.7599256355990347,1
