,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
런던_가스오일(-16~-20),0.013165263792656586,0.008093068900224484,0.011782015,0.024525638342857148,0.01212867814366138,0.02171605,0.011360374550200562,86.29051972765811,-1.3022501247655733,5.738651006106358e-11
런던_소맥(-16~-20),0.007095572127429806,0.005590230142508481,0.006155399,0.016560513485714287,0.014384281908815843,0.0128105495,0.009464941358284481,133.3922224776668,-1.2871082248866756,6.836816025387075e-07
주석(-11~-15),0.008703187911447086,0.006262869823664214,0.006962196,0.017733597714285714,0.010817601539112811,0.0160267285,0.009030409802838629,103.75979347706783,-1.285700470951929,1.9509231582778755e-09
미국_원면(-11~-15),0.010422390788336932,0.005815470878955798,0.009366506,0.01990657584285714,0.013887175746266092,0.018448821,0.009484185054520209,90.99817160121636,-1.284875428699445,3.0662543182126825e-07
오렌지주스(-1~-5),0.013211587019438443,0.007170425523241473,0.011943939,0.022819578857142853,0.01011534188909711,0.023907416,0.00960799183770441,72.72397951561763,-1.2612672234882416,3.761365213302894e-11
주석(-6~-10),0.009702349939524839,0.007028541994321395,0.008110857,0.0193189067,0.011755573097857273,0.018293564,0.00961655676047516,99.11574845697763,-1.2318951921842538,3.596911143055541e-09
런던_가스오일(-11~-15),0.014362339939524835,0.00877652222019733,0.013257828,0.029500296971428572,0.026548980279090473,0.024328813499999997,0.015137957031903737,105.40035325472572,-1.201998421375032,1.0954815637621898e-05
런던_소맥(-11~-15),0.007212065319654428,0.004614837314409391,0.00648872,0.014245844857142857,0.010999750677161853,0.012552021,0.007033779537488429,97.52795108940387,-1.201841036513423,1.28662456147226e-06
알루미늄(-11~-15),0.008449320505399567,0.004635798562647558,0.007512082,0.01415461404285714,0.007923149927116981,0.013224544,0.005705293537457573,67.52369653644439,-1.1009355822942561,1.0441204521018006e-07
주석(-16~-20),0.007778842619870411,0.005884794930646645,0.006479997,0.015144036042857143,0.010713665922197677,0.012417214999999999,0.0073651934229867315,94.68238120890828,-1.097377223474588,2.9991849752299547e-07
