"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"2020.04",98.5,-4.4,73.3,100.6,11850.1,100.5,1934.5,0.31,99.0,98.9,98.7,11866.4,95.3,96.8,40016.3,25477.8,99.4,100.9,0.2,6569.7,26937.3,1.8
"2020.05",98.5,-7.3,64.5,99.6,11962.5,101.9,1867.2,0.41,98.2,96.8,96.9,11644.8,97.4,96.3,39596.2,25204.1,99.5,101.1,0.2,6753.1,26655.1,1.9
"2020.06",99.0,-8.9,64.3,99.1,14009.0,101.3,1983.2,0.53,98.4,95.2,97.6,11513.7,100.6,95.9,39655.3,25192.1,99.7,101.9,0.2,6806.8,26621.6,1.9
"2020.07",99.6,-8.0,69.5,98.2,16048.7,99.8,2098.6,0.56,98.8,95.3,98.9,11571.2,101.2,95.9,38802.8,25279.2,99.9,101.8,0.2,6805.1,26715.6,1.7
"2020.08",100.5,-5.7,76.0,98.8,16711.3,99.8,2226.9,0.62,99.4,98.4,99.7,11344.4,101.3,98.3,37411.0,25364.8,100.2,101.8,0.2,6919.9,26801.8,1.5
"2020.09",101.1,-2.9,79.1,98.7,16371.1,100.8,2305.8,0.64,100.2,100.9,99.8,11549.3,101.2,99.7,38063.3,25393.3,100.5,100.8,0.3,6994.8,26825.4,1.4
"2020.10",101.7,-0.2,83.1,98.1,15799.8,101.5,2359.7,0.66,100.7,102.6,99.8,11289.3,102.2,101.1,38660.3,25409.4,100.6,99.4,0.1,7299.8,26841.2,1.3
"2020.11",102.5,4.6,86.0,99.7,16067.6,101.6,2411.2,0.74,101.5,104.0,100.4,11499.4,102.3,102.5,39087.5,25460.8,100.8,97.4,0.2,7431.4,26884.8,1.1
"2020.12",103.1,4.2,88.8,101.4,15929.0,100.9,2539.3,0.77,101.6,104.4,100.6,11212.1,101.9,102.6,39545.9,25464.3,101.1,96.5,0.2,7601.8,26904.6,1.1
"2021.01",103.8,5.8,90.2,104.2,16583.1,99.8,2783.1,0.82,101.5,105.0,100.3,11132.0,102.6,102.0,39625.9,25363.2,101.4,96.5,0.8,7587.7,26805.6,1.1
"2021.02",104.4,7.6,91.8,106.1,16172.5,98.6,2979.2,0.83,101.7,106.4,100.3,10952.1,102.6,101.8,40275.9,25325.4,101.8,97.0,1.0,7674.9,26791.1,1.0
"2021.03",105.1,9.5,97.1,107.5,15838.8,97.9,3071.4,0.92,102.3,107.1,101.8,10868.8,103.2,101.4,40832.8,25416.4,102.2,96.9,1.3,7801.6,26883.8,1.0
