회사명,상장일,소비자심리지수,경기국면
샤페론,2022-10,89.0,0
탑머티리얼,2022-10,89.0,0
에스비비테크,2022-10,89.0,0
오에스피,2022-10,89.0,0
이노룰스,2022-10,89.0,0
모델솔루션,2022-10,89.0,0
더블유씨피,2022-09,91.6,0
알피바이오,2022-09,91.6,0
오픈엣지테크놀로지,2022-09,91.6,0
대성하이텍,2022-08,89.0,0
에이치와이티씨,2022-08,89.0,0
새빗켐,2022-08,89.0,0
아이씨에이치,2022-07,86.2,0
성일하이텍,2022-07,86.2,0
에이프릴바이오,2022-07,86.2,0
루닛,2022-07,86.2,0
HPSP,2022-07,86.2,0
영창케미칼,2022-07,86.2,0
코난테크놀로지,2022-07,86.2,0
넥스트칩,2022-07,86.2,0
보로노이,2022-06,96.8,0
레이저쎌,2022-06,96.8,0
위니아에이드,2022-06,96.8,0
범한퓨얼셀,2022-06,96.8,0
청담글로벌,2022-06,96.8,0
가온칩스,2022-05,103.1,1
대명에너지,2022-05,103.1,1
포바이포,2022-04,104.3,1
지투파워,2022-04,104.3,1
세아메카닉스,2022-03,103.7,1
공구우먼,2022-03,103.7,1
유일로보틱스,2022-03,103.7,1
모아데이타,2022-03,103.7,1
비씨엔씨,2022-03,103.7,1
노을,2022-03,103.7,1
풍원정밀,2022-02,103.5,1
스톤브릿지벤처스,2022-02,103.5,1
브이씨,2022-02,103.5,1
퓨런티어,2022-02,103.5,1
바이오에프디엔씨,2022-02,103.5,1
나래나노텍,2022-02,103.5,1
아셈스,2022-02,103.5,1
스코넥,2022-02,103.5,1
이지트로닉스,2022-02,103.5,1
케이옥션,2022-01,104.9,1
오토앤,2022-01,104.9,1
케이티비네트워크,2021-12,104.3,1
마인즈랩,2021-11,108.2,1
알비더블유,2021-11,108.2,1
트윔,2021-11,108.2,1
지오엘리먼트,2021-11,108.2,1
아이티아이즈,2021-11,108.2,1
비트나인,2021-11,108.2,1
디어유,2021-11,108.2,1
지니너스,2021-11,108.2,1
피코그램,2021-11,108.2,1
엔켐,2021-11,108.2,1
리파인,2021-10,107.3,1
지앤비에스엔지니어링,2021-10,107.3,1
아이패밀리에스씨,2021-10,107.3,1
차백신연구소,2021-10,107.3,1
지아이텍,2021-10,107.3,1
씨유테크,2021-10,107.3,1
아스플로,2021-10,107.3,1
원준,2021-10,107.3,1
실리콘투,2021-09,104.1,1
프롬바이오,2021-09,104.1,1
바이오플러스,2021-09,104.1,1
와이엠텍,2021-09,104.1,1
바이젠셀,2021-08,102.8,1
브레인즈컴퍼니,2021-08,102.8,1
딥노이드,2021-08,102.8,1
플래티어,2021-08,102.8,1
원티드랩,2021-08,102.8,1
HK이노엔,2021-08,102.8,1
맥스트,2021-07,103.6,1
큐라클,2021-07,103.6,1
오비고,2021-07,103.6,1
아모센스,2021-06,110.8,1
이노뎁,2021-06,110.8,1
엘비루셈,2021-06,110.8,1
에이디엠코리아,2021-06,110.8,1
제주맥주,2021-05,105.5,1
진시스템,2021-05,105.5,1
삼영에스앤씨,2021-05,105.5,1
샘씨엔에스,2021-05,105.5,1
씨앤씨인터내셔널,2021-05,105.5,1
에이치피오,2021-05,105.5,1
쿠콘,2021-04,102.4,1
해성티피씨,2021-04,102.4,1
이삭엔지니어링,2021-04,102.4,1
엔시스,2021-04,102.4,1
자이언트스텝,2021-03,100.6,1
제노코,2021-03,100.6,1
라이프시맨틱스,2021-03,100.6,1
바이오다인,2021-03,100.6,1
프레스티지바이오로직스,2021-03,100.6,1
싸이버원,2021-03,100.6,1
나노씨엠에스,2021-03,100.6,1
뷰노,2021-02,97.4,0
유일에너테크,2021-02,97.4,0
오로스테크놀로지,2021-02,97.4,0
아이퀘스트,2021-02,97.4,0
레인보우로보틱스,2021-02,97.4,0
와이더플래닛,2021-02,97.4,0
핑거,2021-01,95.3,0
모비릭스,2021-01,95.3,0
씨앤투스성진,2021-01,95.3,0
선진뷰티사이언스,2021-01,95.3,0
엔비티,2021-01,95.3,0
석경에이티,2020-12,91.0,0
프리시젼바이오,2020-12,91.0,0
알체라,2020-12,91.0,0
티엘비,2020-12,91.0,0
인바이오,2020-12,91.0,0
엔젠바이오,2020-12,91.0,0
퀀타매트릭스,2020-12,91.0,0
클리노믹스,2020-12,91.0,0
포인트모바일,2020-12,91.0,0
앱코,2020-12,91.0,0
엔에프씨,2020-12,91.0,0
제일전기공업,2020-11,99.1,0
하나기술,2020-11,99.1,0
티앤엘,2020-11,99.1,0
고바이오랩,2020-11,99.1,0
네패스아크,2020-11,99.1,0
소룩스,2020-11,99.1,0
위드텍,2020-10,92.7,0
센코,2020-10,92.7,0
바이브컴퍼니,2020-10,92.7,0
피플바이오,2020-10,92.7,0
넥스틴,2020-10,92.7,0
원방테크,2020-09,80.7,0
박셀바이오,2020-09,80.7,0
비비씨,2020-09,80.7,0
핌스,2020-09,80.7,0
압타머사이언스,2020-09,80.7,0
이오플로우,2020-09,80.7,0
카카오게임즈,2020-09,80.7,0
피엔케이,2020-09,80.7,0
아이디피,2020-08,89.3,0
셀레믹스,2020-08,89.3,0
브랜드엑스코퍼레이션,2020-08,89.3,0
영림원소프트랩,2020-08,89.3,0
한국파마,2020-08,89.3,0
이루다,2020-08,89.3,0
와이팜,2020-07,85.4,0
엠투아이,2020-07,85.4,0
더네이쳐홀딩스,2020-07,85.4,0
솔트룩스,2020-07,85.4,0
에이프로,2020-07,85.4,0
신도기연,2020-07,85.4,0
위더스제약,2020-07,85.4,0
마크로밀엠브레인,2020-07,85.4,0
엘이티,2020-06,83.1,0
에스씨엠생명과학,2020-06,83.1,0
드림씨아이에스,2020-05,78.8,0
엔피디,2020-03,79.7,0
플레이디,2020-03,79.7,0
서울바이오시스,2020-03,79.7,0
제이앤티씨,2020-03,79.7,0
켄코아에어로스페이스,2020-03,79.7,0
레몬,2020-02,98.0,0
서남,2020-02,98.0,0
피피아이,2019-12,101.5,1
천랩,2019-12,101.5,1
메탈라이프,2019-12,101.5,1
브릿지바이오,2019-12,101.5,1
메드팩토,2019-12,101.5,1
신테카바이오,2019-12,101.5,1
제이엘케이인스펙션,2019-12,101.5,1
태웅로직스,2019-12,101.5,1
코리아센터,2019-11,102.0,1
노터스,2019-11,102.0,1
티움바이오,2019-11,102.0,1
씨에스베어링,2019-11,102.0,1
우양,2019-11,102.0,1
에스제이그룹,2019-11,102.0,1
제테마,2019-11,102.0,1
라파스,2019-11,102.0,1
아이티엠반도체,2019-11,102.0,1
티라유텍,2019-10,99.7,0
캐리소프트,2019-10,99.7,0
케이엔제이,2019-10,99.7,0
엔바이오니아,2019-10,99.7,0
팜스빌,2019-10,99.7,0
라온피플,2019-10,99.7,0
아톤,2019-10,99.7,0
녹십자웰빙,2019-10,99.7,0
올리패스,2019-09,98.0,0
라닉스,2019-09,98.0,0
한독크린텍,2019-09,98.0,0
네오크레마,2019-08,93.5,0
마니커에프앤지,2019-08,93.5,0
나노브릭,2019-08,93.5,0
에스피시스템스,2019-08,93.5,0
레이,2019-08,93.5,0
코윈테크,2019-08,93.5,0
덕산테코피아,2019-08,93.5,0
슈프리마아이디,2019-08,93.5,0
한국바이오젠,2019-08,93.5,0
세경하이테크,2019-07,97.0,0
윌링스,2019-07,97.0,0
대모,2019-07,97.0,0
에이스토리,2019-07,97.0,0
플리토,2019-07,97.0,0
세틀뱅크,2019-07,97.0,0
아이스크림에듀,2019-07,97.0,0
펌텍코리아,2019-07,97.0,0
에이에프더블류,2019-07,97.0,0
압타바이오,2019-06,98.6,0
까스텔바쟉,2019-06,98.6,0
마이크로디지탈,2019-06,98.6,0
컴퍼니케이,2019-05,98.9,0
아모그린텍,2019-03,100.8,1
이지케어텍,2019-03,100.8,1
에코프로비엠,2019-03,100.8,1
셀리드,2019-02,100.6,1
천보,2019-02,100.6,1
이노테라피,2019-02,100.6,1
노랑풍선,2019-01,98.5,0
웹케시,2019-01,98.5,0
비피도,2018-12,97.8,0
유틸렉스,2018-12,97.8,0
디케이티,2018-12,97.8,0
위지윅스튜디오,2018-12,97.8,0
에이비엘바이오,2018-12,97.8,0
머큐리,2018-12,97.8,0
전진바이오팜,2018-12,97.8,0
뉴트리,2018-12,97.8,0
이노메트리,2018-12,97.8,0
골든브릿지이안5호,2018-12,97.8,0
대유에이피,2018-12,97.8,0
에코캡,2018-12,97.8,0
베스파,2018-12,97.8,0
남화산업,2018-11,96.6,0
티로보틱스,2018-11,96.6,0
엠아이텍,2018-11,96.6,0
티앤알바이오팹,2018-11,96.6,0
네오펙트,2018-11,96.6,0
싸이토젠,2018-11,96.6,0
디알젬,2018-11,96.6,0
파멥신,2018-11,96.6,0
디케이앤디,2018-11,96.6,0
디자인,2018-11,96.6,0
노바렉스,2018-11,96.6,0
셀리버리,2018-11,96.6,0
대보마그네틱,2018-11,96.6,0
노바텍,2018-11,96.6,0
엘앤씨바이오,2018-11,96.6,0
로보티즈,2018-10,100.2,1
옵티팜,2018-10,100.2,1
에스퓨얼셀,2018-10,100.2,1
푸드나무,2018-10,100.2,1
크리스에프앤씨,2018-10,100.2,1
명성티엔에스,2018-09,101.0,1
액트로,2018-08,100.1,1
에이피티씨,2018-08,100.1,1
바이오솔루션,2018-08,100.1,1
대유,2018-08,100.1,1
디아이티,2018-08,100.1,1
에스에스알,2018-08,100.1,1
휴네시온,2018-08,100.1,1
한국유니온제약,2018-07,102.1,1
엠코르셋,2018-07,102.1,1
올릭스,2018-07,102.1,1
아이큐어,2018-07,102.1,1
SV인베스트먼트,2018-07,102.1,1
EDGC,2018-06,106.8,1
파워넷,2018-06,106.8,1
현대사료,2018-06,106.8,1
세종메디칼,2018-05,109.4,1
제노레이,2018-05,109.4,1
케어랩스,2018-03,109.5,1
에코마이스터,2018-03,109.5,1
린드먼아시아,2018-03,109.5,1
동구바이오제약,2018-02,109.6,1
알리코제약,2018-02,109.6,1
카페24,2018-02,109.6,1
배럴,2018-02,109.6,1
SG,2018-01,111.3,1
씨앤지하이테크,2018-01,111.3,1
시스웍,2017-12,112.1,1
디바이스이엔지,2017-12,112.1,1
씨티케이코스메틱스,2017-12,112.1,1
메카로,2017-12,112.1,1
에스트래픽,2017-12,112.1,1
체리부로,2017-12,112.1,1
대원,2017-12,112.1,1
비즈니스온,2017-11,113.6,1
스튜디오드래곤,2017-11,113.6,1
영화테크,2017-10,110.3,1
상신전자,2017-10,110.3,1
야스,2017-09,108.8,1
에스엔피월드,2017-09,108.8,1
유티아이,2017-09,108.8,1
신흥에스이씨,2017-09,108.8,1
선익시스템,2017-09,108.8,1
엠플러스,2017-09,108.8,1
앱클론,2017-09,108.8,1
샘코,2017-09,108.8,1
펄어비스,2017-09,108.8,1
덕우전자,2017-08,111.1,1
이더블유케이,2017-08,111.1,1
알에스오토메이션,2017-08,111.1,1
컬러레이,2017-08,111.1,1
모트렉스,2017-08,111.1,1
데이타솔루션,2017-08,111.1,1
지니언스,2017-08,111.1,1
디앤씨미디어,2017-08,111.1,1
셀트리온헬스케어,2017-07,112.5,1
이즈미디어,2017-07,112.5,1
힘스,2017-07,112.5,1
브이원텍,2017-07,112.5,1
아우딘퓨쳐스,2017-07,112.5,1
제일홀딩스,2017-06,112.3,1
보라티알,2017-06,112.3,1
삼양옵틱스,2017-06,112.3,1
필옵틱스,2017-06,112.3,1
하나머티리얼즈,2017-04,101.8,1
와이엠티,2017-04,101.8,1
서진시스템,2017-03,97.0,0
코미코,2017-03,97.0,0
아스타,2017-03,97.0,0
에스디생명공학,2017-03,97.0,0
신신제약,2017-02,94.5,0
에프엔에스테크,2017-02,94.5,0
모바일어플라이언스,2017-02,94.5,0
피씨엘,2017-02,94.5,0
서플러스글로벌,2017-01,93.3,0
유바이오로직스,2017-01,93.3,0
퓨전데이타,2016-12,94.3,0
DSC인베스트먼트,2016-12,94.3,0
티에스인베스트먼트,2016-12,94.3,0
마이크로프랜드,2016-12,94.3,0
애니젠,2016-12,94.3,0
신라젠,2016-12,94.3,0
오션브릿지,2016-12,94.3,0
뉴파워프라즈마,2016-11,96.0,0
에이치엔티,2016-11,96.0,0
클리오,2016-11,96.0,0
오가닉티코스메틱,2016-11,96.0,0
로고스바이오,2016-11,96.0,0
인크로스,2016-10,102.7,1
에이치엘사이언스,2016-10,102.7,1
코스메카코리아,2016-10,102.7,1
GRT,2016-10,102.7,1
골든센츄리,2016-10,102.7,1
인텔리안테크,2016-10,102.7,1
에이치시티,2016-10,102.7,1
앤디포스,2016-10,102.7,1
수산아이앤티,2016-10,102.7,1
미투온,2016-10,102.7,1
유니테크노,2016-09,102.4,1
자이글,2016-09,102.4,1
헝셩그룹,2016-08,102.5,1
에코마케팅,2016-08,102.5,1
팍스넷,2016-08,102.5,1
엔지스테크널러지,2016-07,101.6,1
우리손에프앤지,2016-07,101.6,1
장원테크,2016-07,101.6,1
대유위니아,2016-07,101.6,1
피앤씨테크,2016-07,101.6,1
로스웰,2016-06,99.3,0
녹십자랩셀,2016-06,99.3,0
에스티팜,2016-06,99.3,0
레이언스,2016-04,102.2,1
씨엠에스에듀,2016-04,102.2,1
동양파일,2016-04,102.2,1
팬젠,2016-03,100.6,1
AP위성통신,2016-03,100.6,1
큐리언트,2016-02,98.3,0
안트로젠,2016-02,98.3,0
아이엠텍,2016-02,98.3,0
유니트론텍,2016-02,98.3,0
크리스탈신소재,2016-01,100.5,1
한솔씨앤피,2016-01,100.5,1
에스와이패널,2015-12,103.3,1
휴젤,2015-12,103.3,1
육일씨엔에쓰,2015-12,103.3,1
이에스브이,2015-12,103.3,1
한국맥널티,2015-12,103.3,1
아진산업,2015-12,103.3,1
덱스터,2015-12,103.3,1
씨트리,2015-12,103.3,1
강스템바이오텍,2015-12,103.3,1
메가엠디,2015-12,103.3,1
파크시스템스,2015-12,103.3,1
보광산업,2015-12,103.3,1
뉴트리바이오텍,2015-12,103.3,1
멕아이씨에스,2015-12,103.3,1
미래테크놀로지,2015-12,103.3,1
하이즈항공,2015-11,106.6,1
케이디켐,2015-11,106.6,1
네오오토,2015-11,106.6,1
케어젠,2015-11,106.6,1
유앤아이,2015-11,106.6,1
나무가,2015-11,106.6,1
더블유게임즈,2015-11,106.6,1
연우,2015-11,106.6,1
에이티젠,2015-10,105.9,1
에치디프로,2015-10,105.9,1
제너셈,2015-09,103.4,1
타이거일렉,2015-09,103.4,1
인포마크,2015-09,103.4,1
웹스,2015-08,102.2,1
파인텍,2015-08,102.2,1
흥국에프엔비,2015-08,102.2,1
아시아경제,2015-07,100.8,1
아이쓰리시스템,2015-07,100.8,1
로지시스,2015-07,100.8,1
파마리서치프로덕트,2015-07,100.8,1
펩트론,2015-07,100.8,1
동운아나텍,2015-06,98.8,0
유테크,2015-06,98.8,0
민앤지,2015-06,98.8,0
에스엔텍,2015-06,98.8,0
코아스템,2015-06,98.8,0
세미콘라이트,2015-06,98.8,0
싸이맥스,2015-06,98.8,0
픽셀플러스,2015-06,98.8,0
제노포커스,2015-05,106.2,1
유지인트,2015-04,104.8,1
포시에스,2015-02,103.8,1
