"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 03- 02","272.65","272.14","273.34","271.35","105.76K","0.96%"
"2017- 03- 03","269.77","271.03","271.48","268.77","78.08K","-1.06%"
"2017- 03- 06","270.41","269.07","270.74","268.36","72.12K","0.24%"
"2017- 03- 07","271.87","270.22","272.45","269.96","69.48K","0.54%"
"2017- 03- 08","272.29","271.65","273.21","271.32","68.17K","0.15%"
"2017- 03- 09","271.62","272.73","272.97","271.56","71.72K","-0.25%"
"2017- 03- 10","272.29","271.08","273.00","270.24","67.63K","0.25%"
"2017- 03- 13","275.41","273.03","276.25","272.79","72.08K","1.15%"
"2017- 03- 14","277.89","276.80","278.20","276.51","80.67K","0.90%"
"2017- 03- 15","277.89","276.91","278.22","276.78","72.42K","0.00%"
"2017- 03- 16","280.11","280.99","281.35","279.26","86.73K","0.80%"
"2017- 03- 17","281.86","280.02","281.95","279.65","86.56K","0.62%"
"2017- 03- 20","280.75","281.08","281.16","280.00","59.32K","-0.39%"
"2017- 03- 21","283.84","281.54","284.40","281.23","82.82K","1.10%"
"2017- 03- 22","282.63","281.07","282.66","280.85","89.31K","-0.43%"
"2017- 03- 23","282.81","283.29","284.38","282.58","76.37K","0.06%"
"2017- 03- 24","282.31","282.66","284.00","281.49","71.00K","-0.18%"
"2017- 03- 27","280.36","281.10","281.79","279.98","70.91K","-0.69%"
"2017- 03- 28","281.25","281.85","282.24","280.50","62.56K","0.32%"
"2017- 03- 29","281.86","282.52","282.54","281.27","68.20K","0.22%"
"2017- 03- 30","281.66","282.44","283.11","280.95","58.29K","-0.07%"
"2017- 03- 31","280.64","282.03","282.09","280.63","59.37K","-0.36%"
"2017- 04- 03","281.60","281.51","282.35","280.85","56.54K","0.34%"
"2017- 04- 04","280.92","281.25","281.77","280.32","59.58K","-0.24%"
"2017- 04- 05","280.74","280.99","281.36","278.76","72.39K","-0.06%"
"2017- 04- 06","279.47","279.57","279.81","278.20","56.81K","-0.45%"
"2017- 04- 07","279.01","279.64","279.82","277.63","65.06K","-0.16%"
"2017- 04- 10","277.21","278.69","278.69","276.50","59.92K","-0.65%"
"2017- 04- 11","275.49","276.55","277.46","275.01","59.39K","-0.62%"
"2017- 04- 12","276.21","276.11","276.43","275.28","57.61K","0.26%"
"2017- 04- 13","279.12","276.38","279.12","275.66","74.10K","1.05%"
"2017- 04- 14","277.31","277.59","278.14","276.12","44.58M","-0.65%"
"2017- 04- 17","278.10","278.06","279.06","277.49","47.71M","0.28%"
"2017- 04- 18","278.23","279.36","279.42","277.05","54.71M","0.05%"
"2017- 04- 19","276.49","277.66","278.07","275.97","65.26M","-0.63%"
"2017- 04- 20","277.76","276.32","278.04","275.75","69.51M","0.46%"
"2017- 04- 21","280.05","279.44","280.89","278.80","60.45M","0.82%"
"2017- 04- 24","281.96","281.66","282.04","280.81","68.13M","0.68%"
"2017- 04- 25","285.41","282.17","285.47","282.00","76.98M","1.22%"
"2017- 04- 26","286.78","286.04","287.22","285.79","84.11M","0.48%"
