,count_0,mean_0,std_0,min_0,25%_0,50%_0,75%_0,max_0,count_1,mean_1,std_1,min_1,25%_1,50%_1,75%_1,max_1
코스닥수익률표준편차(1~5),237.0,0.013142935395497624,0.009404604659702574,0.0013962304014037,0.0066203356303745,0.0109634780370049,0.0167407177863059,0.0805108998671682,295.0,0.012304378330317394,0.00704350251548868,0.0009245794740008,0.0069973376058677,0.0110278047435122,0.016288160828569098,0.0411643964498768
코스닥수익률표준편차(6~10),237.0,0.01272953581088643,0.00911714769737418,0.0013225938712909,0.0069783834277302,0.0110809814462049,0.0158127341008232,0.0795010211859265,295.0,0.011557847047077466,0.0069031942186762365,0.0017759162809295,0.00626876409483265,0.0099087787262027,0.01496782153967925,0.0344382892479619
코스닥수익률표준편차(11~15),237.0,0.012274989947657786,0.011121332030798008,0.0013225938712909,0.0066045330770131,0.0093252459281577,0.0136561717072111,0.0927223531359157,295.0,0.011311098982954855,0.006519305027637133,0.0017759162809295,0.0063016450020745,0.0100140516655797,0.014322676647192601,0.0415295509304921
코스닥수익률표준편차(16~20),237.0,0.012437257446066744,0.00807223949064011,0.0021053735485828,0.0071030149477638,0.0108156078136761,0.0152944274824944,0.0501627589865401,295.0,0.01094363777726954,0.005883559400568494,0.0013890650958875,0.0064331854276666,0.0096115567401088,0.01401947436125125,0.0369415740740866
코스피수익률표준편차(1~5),237.0,0.008843712962508625,0.005299161745859774,0.0015498834505146,0.0058914683262768,0.0078883713594573,0.010436238996725,0.0606249546978208,295.0,0.008844806960269805,0.004451861307977285,0.0014868612880934,0.0058523122057979,0.0080267707217664,0.01095984427560685,0.0243942844291792
코스피수익률표준편차(6~10),237.0,0.008777050752866772,0.00629053603019935,0.0019212288389138,0.0055758885562918,0.0076879953124613,0.0104674282387339,0.0603590404257548,295.0,0.008372598052081306,0.004141393183840816,0.0014868612880934,0.0050232986192976,0.0080235401479715,0.0107485670631321,0.0235941722319917
코스피수익률표준편차(11~15),237.0,0.008920113019771754,0.008717986975121293,0.0011724094930609,0.0055741638943778,0.0077508855570689,0.0097427408053401,0.0791679329620692,295.0,0.008272119415472783,0.00452760014125437,0.0010897915697842,0.0051905098664709,0.007317742887001,0.01031866064187235,0.0267773253874285
코스피수익률표준편차(16~20),237.0,0.008777612783569849,0.0056092014010244075,0.0015498834505147,0.0055376063723514,0.0076082135800305,0.0104908700897099,0.0552635248604362,295.0,0.008250989619389984,0.004565901975818104,0.0010897915697842,0.005204634118704201,0.0074092179416677,0.0102048394046084,0.0267773253874285
나스닥수익률표준편차(1~5),237.0,0.010308866640799205,0.005972598785449944,0.0019743640083627,0.0056211444071732,0.0083906839086996,0.013967341041978,0.0344076409924009,295.0,0.008284975068524788,0.005567609987516023,0.0012528243572721,0.0040640364313038,0.0066871889142308,0.0114966600526959,0.0254386690509672
나스닥수익률표준편차(6~10),237.0,0.010083636725498873,0.006783231907135762,0.0009802537823059,0.0051104619174101,0.0082787646677553,0.0133892531681993,0.0418378617885711,295.0,0.008354586311505359,0.005587377958311683,0.0008877051090245,0.0042251802164606,0.0068185471511459,0.01135371691065935,0.0297825420320795
나스닥수익률표준편차(11~15),237.0,0.009543502001153344,0.006709922851767733,0.0015222578902417,0.0048664416704688,0.0075266026890572,0.0126945370756908,0.0440706956685809,295.0,0.007891757853618874,0.00538104111309615,0.0011110159422712,0.00388020914217775,0.0062767390855408,0.0106387838143164,0.0256373776823584
나스닥수익률표준편차(16~20),237.0,0.009611825430266327,0.006053025473718066,0.0014743665650953,0.0052753629115776,0.0080214719128304,0.0129862071529861,0.0432033000537402,295.0,0.008729560396885204,0.005929602138903006,0.0008877051090245,0.0041478574070648,0.0067984895467678,0.0118266368354903,0.0275360133314143
S&P500수익률표준편차(1~5),237.0,0.010602271149118136,0.009937920184764902,0.0016841341640631,0.0050103866773929,0.0084555737499066,0.0123241399663883,0.0855212560307725,295.0,0.008141977536485637,0.005477341375201292,0.0008015375004629,0.00397866171905515,0.0066428947569494,0.01106556224625715,0.0288775230377744
S&P500수익률표준편차(6~10),237.0,0.010904727111072971,0.012029718995219105,0.0015746026997407,0.005091736910815,0.0085519578252076,0.0116968518048979,0.0945069299280871,295.0,0.007811903794339773,0.005595238147087303,0.0012833895251283,0.0035485424151338,0.0058603753340015,0.010601816804683601,0.027927768207346
S&P500수익률표준편차(11~15),237.0,0.010233410216541646,0.009550618304206648,0.001543889222359,0.0046529982480594,0.008095606303319,0.0120162216700509,0.0671334740998508,295.0,0.007782146276553529,0.005259861499021794,0.0005205399957685,0.00376059662972235,0.0061766806354145,0.01072243162518415,0.0274548602945253
S&P500수익률표준편차(16~20),237.0,0.010351263440197513,0.009199839423761843,0.0014304342127406,0.0044483695021217,0.0083075247099536,0.0127333625566481,0.0855212560307725,295.0,0.008402154407132259,0.0053584578787477756,0.0011597814930286,0.00408914849880715,0.0072680440977885,0.011624370257325201,0.0290355974186663
원달러환율수익률표준편차(1~5),237.0,0.0041232134015131965,0.002220620146306644,0.0006790320649046,0.0026998670712406,0.0036642621378445,0.0051566670042058,0.0173053541343208,295.0,0.004287580893953656,0.0018690655283185452,0.0006947395326989,0.0029729566772212,0.0041888683993275,0.00522887136640975,0.0102217071557526
원달러환율수익률표준편차(6~10),237.0,0.004129660373295626,0.0020999543115096677,0.0009499325597379,0.0029033111115534,0.0037432355394795,0.0048755027866594,0.0170743911910387,295.0,0.004171596278434971,0.0019664718302655985,0.0009617025150626,0.0027789710736175997,0.0038578755704148,0.00508185042444835,0.0121435478743604
원달러환율수익률표준편차(11~15),237.0,0.004352257636129089,0.0026463543984638033,0.0010072848380913,0.0028261634512623,0.0037663995388208,0.0050847690765827,0.0209821647468483,295.0,0.004262714532689172,0.002024958106956221,0.0002489052904381,0.00294469826530965,0.0040168463495427,0.005319077185498899,0.0147771178887983
원달러환율수익률표준편차(16~20),237.0,0.003910554153929839,0.0017764658933490337,0.0006790320649046,0.0028670930488187,0.0037514597133907,0.0047046567291771,0.0128046847268681,295.0,0.0041700554604801425,0.0020405270740978584,0.0002489052904381,0.0027677594795696503,0.0037878714527248,0.0051736272132772,0.0147771178887983
위치,237.0,0.5847684543230933,1.0480247000084002,-2.5,0.0,1.0,1.0,3.0,295.0,0.6808036604006741,1.0772244896884156,-3.0,0.0,1.0,1.0,4.0
