,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,VIXCLS,시장금리국고채3년,WTI유(-1~-5),WTI유(-6~-10),WTI유(-11~-15),WTI유(-16~-20),금(-1~-5),금(-6~-10),금(-11~-15),금(-16~-20),구리_미국(-1~-5),구리_미국(-6~-10),구리_미국(-11~-15),구리_미국(-16~-20),미국_커피(-1~-5),미국_커피(-6~-10),미국_커피(-11~-15),미국_커피(-16~-20),돈육(-1~-5),돈육(-6~-10),돈육(-11~-15),돈육(-16~-20),미국_옥수수(-1~-5),미국_옥수수(-6~-10),미국_옥수수(-11~-15),미국_옥수수(-16~-20),코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20),나스닥수익률표준편차(-1~-5),나스닥수익률표준편차(-6~-10),나스닥수익률표준편차(-11~-15),나스닥수익률표준편차(-16~-20),원달러환율수익률표준편차(-1~-5),원달러환율수익률표준편차(-6~-10),원달러환율수익률표준편차(-11~-15),원달러환율수익률표준편차(-16~-20),cluster_k4
63,0.0551648709999999,0.048442388,0.041724789,0.059497538,24.74,0.803,0.010092714,0.011365656,0.01335351,0.01926362,0.006326501,0.00597086,0.005032296,0.007075775,0.008627469,0.006177556,0.013658808,0.00767651,0.035341119,0.024740248,0.010053561,0.014521278,0.018223749,0.024791126,0.056790791,0.021033338,0.007476555,0.010613244,0.015690964,0.01628834,0.008333913,0.009593674,0.010952846,0.012815006,0.0178888625656349,0.012424112339896,0.0114630918107559,0.0173767851493256,0.0040475906938784,0.0027742753589097,0.0043187419470156,0.0021976413308481,1
65,0.159093347,0.059534528,0.045901558,0.047973149,31.62,4.186,0.027546741,0.025126995,0.018439272,0.008439926,0.012115077,0.007804977,0.008656131,0.007664583,0.015131976,0.01526704,0.005933587,0.010059125,0.012946978,0.019127853,0.012822098,0.012193671,0.01376453,0.007464815,0.007608084,0.022526763,0.007810947,0.014087577,0.020005541,0.009520853,0.014503656,0.006421511,0.017394912,0.011833542,0.0188450777919493,0.0096837803844164,0.0291779008207933,0.0134392085919599,0.0065589868645849,0.0060143194722619,0.0069066401150337,0.0061682581123298,2
66,0.122162813,0.038451944,0.042053977,0.0523254429999999,17.61,1.26,0.040391851,0.009559508,0.013888087,0.013365178,0.005066391,0.003843464,0.001663697,0.004019736,0.00895384,0.005114987,0.009649688,0.004416507,0.015181067,0.01033766,0.008849102,0.028885614,0.013995801,0.016272397,0.008431745,0.051325734,0.013473126,0.008122267,0.016619644,0.009325282,0.00806415,0.008519491,0.005371274,0.012325178,0.0087216625510702,0.008753214347201,0.0045677407316578,0.0060081361156052,0.0030489058941773,0.0039179478774223,0.0013832262256324,0.0045397565260652,0
70,0.041690083,0.015514767,0.010210436,0.015716615,11.63,1.759,0.007966116,0.022940762,0.013024387,0.008873562,0.001044475,0.003278969,0.005124048,0.006347839,0.00488031,0.006245109,0.009777338,0.017367917,0.006004195,0.007987732,0.009545229,0.01590927,0.012847515,0.006829966,0.012570275,0.013851662,0.004109825,0.005779604,0.013236874,0.006554819,0.004850013,0.007084611,0.00592223,0.002599429,0.0026882151904667,0.0080158503404034,0.0038485941537903,0.0026646829314229,0.0067538102865711,0.0030918214590999,0.0031072403691786,0.0076132611181788,0
74,0.140227023,0.06952027,0.06139228,0.03911308,18.23,1.793,0.009430686,0.012444509,0.009703384,0.013709644,0.002309666,0.006151305,0.010539709,0.004646288,0.003742961,0.007679376,0.006342736,0.015330074,0.005710019,0.023541913,0.021654336,0.012761855,0.009502339,0.009993809,0.025982126,0.000577241,0.014697984,0.01150527,0.014675825,0.009108316,0.009649361,0.004463075,0.003462099,0.006109512,0.0097509035439152,0.0061606492789953,0.0073442107080654,0.0059838596336267,0.0044045838790796,0.0046350112402087,0.0047386498997683,0.0061016444225716,0
76,0.099813115,0.022105271,0.024121609,0.021117339,12.85,1.736,0.026958223,0.014076561,0.013483643,0.017795215,0.002975541,0.013912446,0.00848109,0.00823704,0.009391451,0.023675369,0.00813171,0.00459326,0.008884558,0.025784278,0.014112849,0.009140531,0.023041205,0.010466798,0.015873113,0.024286143,0.010184896,0.022841792,0.004515963,0.007112843,0.005787103,0.016319947,0.006391102,0.007693002,0.0054067206181635,0.0123357998897952,0.0037761146442335,0.0072520805945282,0.003369604361433,0.0136431193729038,0.0041225309155191,0.0058861734571842,0
78,0.482257198,0.054691087,0.018681408,0.146158315,28.16,0.837,0.03328481,0.04510265,0.037180111,0.076591473,0.010391159,0.005250819,0.012395568,0.007282868,0.016462095,0.004005252,0.009937906,0.004123136,0.010959756,0.017343638,0.015947216,0.013029752,0.022814184,0.074937309,0.012788634,0.038550236,0.004467239,0.009962802,0.006809543,0.004302053,0.008479162,0.008775708,0.016651183,0.013608704,0.0152022745768192,0.0162453793320649,0.0194077422414414,0.0189756058888925,0.0043126479088974,0.0045075811236933,0.0044102857705841,0.0039191189177953,1
82,0.043840814,0.139201034,0.155879899,0.048650663,20.8,1.942,0.033325865,0.033205403,0.006563565,0.006169008,0.00325471,0.005115404,0.00616645,0.002389486,0.007739404,0.007939782,0.00996183,0.018280502,0.006319027,0.028197946,0.016450331,0.020949056,0.018231072,0.022418442,0.011257301,0.022632169,0.003277406,0.007131861,0.005043104,0.006061819,0.00691509,0.004439848,0.017906374,0.013618293,0.0177079133501626,0.0203890373792121,0.0132080340483497,0.0296442612817304,0.0044020124022592,0.006674530818507,0.0075228007732007,0.0031085326544792,2
85,0.2386076209999999,0.052968746,0.039879845,0.069108733,19.98,1.943,0.032734834,0.005654995,0.010394422,0.007206984,0.004270979,0.005856697,0.010690851,0.003260728,0.004296705,0.010670414,0.015450628,0.010735204,0.022970313,0.023670141,0.019502382,0.01847877,0.008540946,0.0294529,0.003944653,0.009651476,0.006541159,0.006614653,0.007017559,0.009547159,0.004439848,0.017906374,0.013618293,0.011903073,0.0108192893587306,0.0150555343815668,0.0226797890265226,0.0188170799761033,0.006674530818507,0.0075228007732007,0.0031085326544792,0.0049846943458498,2
86,0.050631235,0.01602083,0.032298344,0.039223424,22.48,1.94,0.004068024,0.032734834,0.005654995,0.010394422,0.002826915,0.004270979,0.005856697,0.010690851,0.008711581,0.004296705,0.010670414,0.015450628,0.016383171,0.022970313,0.023670141,0.019502382,0.022583481,0.008540946,0.0294529,0.003944653,0.00421784,0.006541159,0.006614653,0.007017559,0.005392548,0.005617125,0.016983804,0.00774824,0.0171970509261517,0.0209487172077762,0.0139312645535327,0.0270037296495024,0.0048690404026212,0.0055868716653486,0.0067788532759259,0.002830993677933,2
