,회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code
137,바이오솔루션,0.034410275,0.044060776,0.069583022,0.065598819,86820
138,바이오에프디엔씨,0.145827971,0.044341031,0.010537315,0.023515782,251120
139,바이오인프라,0.19567763,0.051332904,0.029591502,0.038984138,199730
140,바이오플러스,0.045978473,0.049819253,0.039277411,0.02436282,99430
141,바이젠셀,0.068253227,0.055525733,0.0293457489999999,0.01971015,308080
142,박셀바이오,0.177717,0.02460061,0.041926758,0.077847081,323990
143,배럴,0.227001183,0.067347324,0.02678087,0.028020671,267790
144,범한퓨얼셀,0.148050015,0.03043268,0.049381201,0.030996806,382900
145,베스파,0.062727546,0.036963969,0.023206508,0.037942496,299910
146,보광산업,0.292272387,0.065363652,0.139048438,0.06173154,225530
147,보라티알,0.1101165749999999,0.021409064,0.021232334,0.013460795,250000
148,보로노이,0.202791166,0.080227975,0.11859809,0.024080449,310210
149,뷰노,0.251116632,0.055714226,0.044238072,0.035734115,338220
150,브랜드엑스코퍼레이션,0.053756609,0.031945704,0.034386872,0.042745058,337930
151,브레인즈컴퍼니,0.744782023,0.036600232,0.027899498,0.024308373,99390
152,브릿지바이오,0.0609880149999999,0.034050727,0.034660453,0.031778735,288330
153,브이씨,0.047605514,0.029075626,0.030668355,0.035415011,365900
154,브이원텍,0.124158093,0.060519518,0.040875457,0.035565615,251630
155,비비씨,0.121003954,0.006604771,0.024453793,0.011973429,318410
156,비씨엔씨,0.344488814,0.035673618,0.0262622729999999,0.0136282789999999,146320
157,비즈니스온,0.27212336,0.079494635,0.017782801,0.029647513,138580
158,비트나인,0.13783928,0.088436152,0.088023537,0.055796837,357880
159,비피도,0.483750078,0.034970387,0.0273370989999999,0.012299797,238200
160,빅히트,0.4522174289999999,0.051578998,0.0561533349999999,0.049427189,352820
161,산돌,0.069616104,0.016447279,0.015421641,0.026145038,419120
162,삼기이브이,0.659707031,0.018883538,0.027549374,0.070720202,419050
163,삼성바이오로직스,0.067101416,0.016928142,0.038345952,0.037980456,207940
164,삼양옵틱스,0.020408136,0.025649717,0.033184379,0.024569758,225190
165,삼양패키징,0.028503631,0.037127658,0.0280765029999999,0.005477226,272550
166,삼영에스앤씨,0.780604917,0.007979787,0.014841395,0.016115738,361670
167,상신전자,0.303229011,0.069996236,0.060338818,0.043671696,263810
168,새빗켐,0.4723347249999999,0.054151805,0.053986183,0.09701153,107600
169,샌즈랩,0.644338343,0.0300161289999999,0.055145761,0.035090911,411080
170,샘씨엔에스,0.182525738,0.019433939,0.017919542,0.027208455,252990
171,샘코,0.026313058,0.026330173,0.017333638,0.024089105,263540
172,샤페론,0.361159157,0.045765817,0.012887319,0.049517855,378800
173,서남,0.277978609,0.034278083,0.044665165,0.044451243,294630
174,서울바이오시스,0.2395517329999999,0.0626674,0.096806988,0.138800043,92190
175,서진시스템,0.238775036,0.033488759,0.036013928,0.026283968,178320
176,서플러스글로벌,0.158717888,0.039324611,0.016780256,0.031247288,140070
177,석경에이티,0.683715802,0.050168247,0.060312727,0.026703502,357550
178,선익시스템,0.086046633,0.033380189,0.023322135,0.060409122,171090
179,선진뷰티사이언스,0.740673162,0.079072859,0.020558526,0.036677268,86710
180,성일하이텍,0.338947463,0.038001618,0.0253134749999999,0.08961472,365340
181,세경하이테크,0.0558270099999999,0.0509522519999999,0.066249717,0.02635204,148150
182,세미콘라이트,0.198380266,0.078317284,0.025942378,0.033964938,214310
183,세아메카닉스,0.330720022,0.0277518829999999,0.034597355,0.024401701,396300
184,세종메디칼,0.463331356,0.063341085,0.062555032,0.038903625,258830
185,세진중공업,0.069413493,0.036319857,0.0155961529999999,0.021088931,75580
186,세틀뱅크,0.074795769,0.054527681,0.046882971,0.037094204,234340
