,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,VIXCLS,시장금리국고채3년,WTI유(1~5),WTI유(6~10),WTI유(11~15),WTI유(16~20),금(1~5),금(6~10),금(11~15),금(16~20),구리_미국(1~5),구리_미국(6~10),구리_미국(11~15),구리_미국(16~20),미국_커피(1~5),미국_커피(6~10),미국_커피(11~15),미국_커피(16~20),돈육(1~5),돈육(6~10),돈육(11~15),돈육(16~20),코스피수익률표준편차(1~5),코스피수익률표준편차(6~10),코스피수익률표준편차(11~15),코스피수익률표준편차(16~20),나스닥수익률표준편차(1~5),나스닥수익률표준편차(6~10),나스닥수익률표준편차(11~15),나스닥수익률표준편차(16~20),원달러환율수익률표준편차(1~5),원달러환율수익률표준편차(6~10),원달러환율수익률표준편차(11~15),원달러환율수익률표준편차(16~20),위치,cluster_k2
401,0.085934172,0.031325309,0.036315052,0.032738632,12.33,1.481,0.019401397515314,0.0118625358057421,0.0050194294050785,0.0177596387787048,0.0057597524733053,0.0110538646373046,0.0050503506587312,0.0021795755851614,0.0098814522904623,0.016744028914655,0.0030845199041317,0.0075071908349625,0.0135298668384973,0.0096594831235579,0.0192000310361696,0.0118897296563745,0.0110998791360973,0.0285265767479027,0.0174972885472004,0.0066231078471814,0.0054989034837308,0.006433008131672,0.0094554581603189,0.0087208104707433,0.0049768317243138,0.0041495697749576,0.003364119726757,0.0062391849353668,0.002464486346194,0.003845289228554,0.0018782735091407,0.0030574992244954,-1.0,0
404,0.250181554,0.073452175,0.042883505,0.063512613,19.02,3.24,0.0260503610923458,0.0006282350613755,0.0163005680340136,0.0111058275277852,0.009580085312322,0.0020089865716621,0.0139514074580513,0.0048478795385692,0.008753011639659,0.0031896330461745,0.0103125282913121,0.0056085204841016,0.0161134785397794,0.0141088857994419,0.0248298770918888,0.0207193387620627,0.0128992252762085,0.0075880604712817,0.0054147103374662,0.043041600920758,0.009343839972422,0.0055321197889053,0.0033588583253543,0.0068915648294143,0.0095814277202893,0.0020553244755005,0.0050195586724418,0.0092960160428076,0.0055073418364869,0.0020436145525598,0.011011125672743,0.0026599751383813,-0.6,0
415,0.170121216,0.051520258,0.073726827,0.081000938,24.79,3.121,0.0102661960619342,0.0041214058866885,0.0308676298659472,0.024974345521262,0.0030216230579942,0.0128360831868283,0.0102404865481586,0.0023635695015259,0.0043826416900451,0.0099269743825829,0.0103660201603506,0.0245230289452029,0.0158807265779999,0.0163187870324025,0.0141595244043612,0.0206126857582818,0.0041273446459871,0.0056965069814561,0.0067069787025005,0.0163992931425821,0.0144668302288557,0.0096434019414359,0.0205215220159333,0.0116315812436988,0.0206833526041884,0.0297825420320795,0.0132331207126125,0.0187609717775547,0.0066433582328818,0.0038683387142172,0.0049077393329011,0.005050032067491,-2.0,0
417,0.721647705,0.027451448,0.067637763,0.033171177,29.71,0.915,0.0121260482179841,0.0208289830068342,0.0224906737053859,0.0202206131784875,0.0058135917114707,0.0061630109723298,0.012940410640686,0.0071901358976057,0.0070787340123376,0.0065479632708287,0.0151853817721437,0.0061194978087008,0.0329566758986317,0.0159095818774655,0.0148815521529481,0.0184135084600281,0.0235673379877403,0.0103274037717916,0.0228113480238,0.0068095531956204,0.0095756288662153,0.0132301558910297,0.0049532125460129,0.0068734514594704,0.0170487489094269,0.0143381550805348,0.005488873846815,0.0068180952790072,0.0017846621335259,0.0047603591324994,0.0026998670712406,0.0036961645079156,1.0,0
420,0.27492134,0.040356251,0.034399956,0.055979666,13.2,1.499,0.020657781904551,0.0118585891194944,0.0044158619318411,0.0106357165864445,0.005884915563377,0.0110253943181949,0.0040235500719236,0.0037788267337256,0.0089333193830706,0.0169264701788939,0.0033865455665593,0.0053534648586203,0.0122384005920226,0.0106797408123672,0.0191640679970005,0.0077857079627966,0.0163525598321523,0.0285423108375603,0.0175533779487211,0.0056950416463323,0.007543087197964,0.0052869989969038,0.0080233604430207,0.0102489499948085,0.0040915197802836,0.0045381618837924,0.0035616855660731,0.0063213203065517,0.0026001831770162,0.0034415741205482,0.0031608736777637,0.0030102653065081,1.0,0
422,0.572410021,0.023803781,0.046415213,0.047449078,16.92,1.648,0.0050276191796296,0.0249050833048922,0.023376072851613,0.0175471379093442,0.0021935488691095,0.0058943447699088,0.0048092411150693,0.0065306548802969,0.0050689932455518,0.0049830640562466,0.0115022726550757,0.0070595649418486,0.0134526124798597,0.0165517499856194,0.0354680408774784,0.0172073164599051,0.0170512536173707,0.0153177392982272,0.0052173292198965,0.0040685399023398,0.0078578924740066,0.0053740924268153,0.0071389376569071,0.0060992342806278,0.0084306348337995,0.0086757283857211,0.010329653835131,0.0082748128585927,0.0041689565935755,0.0027495283798252,0.0022370680599158,0.0035163773064424,2.25,0
426,0.174262595,0.044045579,0.028910673,0.038871043,12.65,1.435,0.0064032730749379,0.019401397515314,0.0118625358057421,0.0050194294050785,0.0046504239668456,0.0057597524733053,0.0110538646373046,0.0050503506587312,0.0017147446638189,0.0098814522904623,0.016744028914655,0.0030845199041317,0.0095596069069199,0.0135298668384973,0.0096594831235579,0.0192000310361696,0.0158220803234785,0.0110998791360973,0.0285265767479027,0.0174972885472004,0.0050654003894561,0.0068528535818364,0.0090116677440968,0.0072828762914985,0.0054427132530264,0.0049144453510546,0.0041718180444742,0.0035328769578997,0.0019417487926001,0.0026238301420738,0.003905180061392,0.0029393124234344,1.0,0
430,0.043338147,0.11348221,0.101107651,0.049007857,36.82,1.11,0.0418883597554811,0.1257707335818155,0.0980893120564104,0.1410065457015835,0.0067341380611074,0.0194103641593423,0.0221207356808261,0.0245398967078847,0.004175204130361,0.0089543639663374,0.0290108459467995,0.0177549461238476,0.0267780600522657,0.0343266911035348,0.0293221849448005,0.0330489971572294,0.0073810499066568,0.0399883392758624,0.0462232275966835,0.0263630591616172,0.0263717373593437,0.0054672465329437,0.0791679329620692,0.0267187392696711,0.0224769754893533,0.0345517235593083,0.0440706956685809,0.0166548927106351,0.0069296435333538,0.0063565442521478,0.0197945998838338,0.0078142245334809,-1.5,1
431,0.135670288,0.033569853,0.01784895,0.012041262,26.08,3.262,0.0385748040040013,0.0107081837840774,0.0410513253623766,0.0173820617801593,0.0031788967833624,0.0087069796290121,0.0059332200122884,0.0022247756483971,0.0178001964549374,0.0174977892024759,0.0201210977816447,0.0061010991987718,0.0178981131689682,0.0305428753211948,0.0438618657958018,0.0118330660260111,0.0028910477357504,0.0035420373797433,0.0181137070370066,0.0094089159599305,0.0068007837998723,0.0076943160784564,0.0055427226447465,0.0056004882940469,0.007186713320277,0.0043632351892913,0.019902220570994,0.0085927396116077,0.0068782783607588,0.0035593160124507,0.0026660987374187,0.0018757006520114,1.0,0
434,0.30820531,0.021514809,0.042075147,0.042022292,13.12,1.666,0.0070230943179046,0.0106527802455941,0.008962191693097,0.0081970037273789,0.0025145884995796,0.0026024784807201,0.004983614662873,0.0074837532029354,0.0083203049591071,0.0032024733146979,0.0164994111041988,0.0116082069832573,0.0113267178683143,0.0016302441789057,0.0098283499789754,0.0057882557622135,0.0138563276334291,0.0021664930538204,0.0090643633819514,0.0049848374584348,0.0036898498182667,0.0028413315307343,0.006778021108204,0.0053768049212473,0.0029882919373751,0.0054386293920788,0.0028412995344467,0.0032589220384953,0.0038651464603678,0.0024618602082153,0.0062751216960061,0.0050033475178462,1.0,0
436,0.724681631,0.081049602,0.030716819,0.057227633,14.02,1.818,0.0236813104568836,0.0237755331094174,0.0128339836673532,0.0170536826246986,0.004003518729323,0.0047913373556625,0.0097375546377115,0.0019461401592508,0.0046737872843084,0.0158294715642001,0.023622793005115,0.0033073049606136,0.0176913064673164,0.0083622991775644,0.0042127868820856,0.0178547576660006,0.0156834917017018,0.0098354137335798,0.0063149402282707,0.0272906316083411,0.0098751641533194,0.0117192622959613,0.0078883713594573,0.0061489158343615,0.0074749456690849,0.0080575237168793,0.0030825849829341,0.0080214719128304,0.0032586338569417,0.0045387119125337,0.0027952102393779,0.00455718485821,2.1666666666666665,0
