변환,주식시장,잠정치
"2016/12/05","-45","-54"
"2016/12/06","1,175","332"
"2016/12/07","783","-86"
"2016/12/08","284","727"
"2016/12/09","571","269"
"2016/12/12","848","76"
"2016/12/13","1,120","378"
"2016/12/14","1,763","-189"
"2016/12/15","-33","464"
"2016/12/16","677","-239"
"2016/12/19","50","58"
"2016/12/20","606","-224"
"2016/12/21","782","513"
"2016/12/22","-500","-84"
"2016/12/23","-1,005","407"
"2016/12/26","-312","-161"
"2016/12/27","934","705"
"2016/12/28","1,268","708"
"2016/12/29","1,286","89"
"2016/12/30","",""
"2017/01/02","274","-340"
"2017/01/03","1,711","169"
"2017/01/04","2,142","409"
"2017/01/05","841","307"
"2017/01/06","1,713","-86"
"2017/01/09","2,544","-195"
"2017/01/10","996","-332"
"2017/01/11","4,855","-4"
"2017/01/12","314","-172"
"2017/01/13","-1,084","-193"
"2017/01/16","-2,394","-521"
"2017/01/17","-84","-216"
"2017/01/18","-193","223"
"2017/01/19","1,460","-175"
"2017/01/20","-465","-256"
"2017/01/23","1,167","-63"
"2017/01/24","-131","207"
"2017/01/25","2,091","-316"
"2017/01/26","3,649","501"
"2017/01/31","-3,025","-394"
"2017/02/01","-119","210"
"2017/02/02","705","-420"
"2017/02/03","-1,097","111"
"2017/02/06","29","214"
"2017/02/07","-1,600","-363"
"2017/02/08","-2,426","274"
"2017/02/09","545","354"
"2017/02/10","-1,053","-47"
"2017/02/13","58","496"
"2017/02/14","-1,276","-137"
"2017/02/15","-287","256"
"2017/02/16","1,656","-162"
"2017/02/17","2,903","81"
"2017/02/20","533","-12"
"2017/02/21","1,248","11"
"2017/02/22","4,529","278"
"2017/02/23","356","-217"
"2017/02/24","-49","219"
"2017/02/27","-2,257","190"
"2017/02/28","679","7"
"2017/03/02","6,820","34"
"2017/03/03","-319","114"
"2017/03/06","2,295","781"
"2017/03/07","926","-360"
"2017/03/08","1,542","82"
"2017/03/09","4,448","70"
"2017/03/10","1,601","176"
"2017/03/13","4,546","145"
"2017/03/14","4,057","-18"
"2017/03/15","1,289","-244"
"2017/03/16","2,798","674"
"2017/03/17","2,512","-12"
"2017/03/20","-848","-471"
"2017/03/21","3,627","61"
"2017/03/22","-962","-212"
"2017/03/23","526","-272"
"2017/03/24","-891","-14"
"2017/03/27","364","-462"
"2017/03/28","207","410"
"2017/03/29","-618","-106"
"2017/03/30","894","-51"
"2017/03/31","257","249"
"2017/04/03","-220","677"
"2017/04/04","-1,016","560"
"2017/04/05","-76","499"
"2017/04/06","-905","753"
"2017/04/07","-779","24"
"2017/04/10","-541","-507"
"2017/04/11","-1,266","266"
"2017/04/12","790","-319"
"2017/04/13","-11","-192"
"2017/04/14","-735","-105"
"2017/04/17","-1,117","975"
"2017/04/18","114","99"
"2017/04/19","2,251","117"
"2017/04/20","763","-57"
"2017/04/21","3,322","65"
"2017/04/24","3,381","-514"
"2017/04/25","6,516","597"
"2017/04/26","2,984","352"
"2017/04/27","133","-58"
"2017/04/28","-151","-32"
"2017/05/02","1,355","-16"
"2017/05/04","3,641","966"
"2017/05/08","5,440","706"
"2017/05/10","1,107","477"
"2017/05/11","1,046","683"
"2017/05/12","-3,066","-365"
"2017/05/15","-959","284"
"2017/05/16","2,341","-244"
"2017/05/17","67","575"
"2017/05/18","269","177"
"2017/05/19","411","594"
"2017/05/22","2,887","106"
"2017/05/23","-554","250"
"2017/05/24","773","307"
"2017/05/25","1,170","-247"
"2017/05/26","1,231","378"
"2017/05/29","222","-98"
"2017/05/30","-417","743"
"2017/05/31","-3,619","34"
"2017/06/01","-136","-9"
"2017/06/02","4,480","-345"
"2017/06/05","2,740","526"
"2017/06/07","1,146","485"
"2017/06/08","2,818","641"
"2017/06/09","1,547","19"
"2017/06/12","-1,462","-625"
"2017/06/13","-787","415"
"2017/06/14","222","334"
"2017/06/15","110","-116"
"2017/06/16","-1,633","326"
"2017/06/19","1,272","369"
"2017/06/20","4,872","-203"
"2017/06/21","-1,847","221"
"2017/06/22","1,827","-37"
"2017/06/23","1,666","394"
"2017/06/26","431","-91"
"2017/06/27","542","303"
"2017/06/28","-1,811","-558"
"2017/06/29","1,000","-32"
"2017/06/30","-410","-40"
"2017/07/03","1,054","-597"
"2017/07/04","-1,929","221"
"2017/07/05","-65","586"
"2017/07/06","2,173","96"
"2017/07/07","2,757","-5"
"2017/07/10","-571","-478"
"2017/07/11","1,007","-155"
"2017/07/12","3,816","36"
"2017/07/13","3,408","518"
"2017/07/14","2,003","248"
"2017/07/17","-388","473"
"2017/07/18","-2,161","387"
"2017/07/19","-1,003","649"
"2017/07/20","606","625"
"2017/07/21","2,901","-178"
"2017/07/24","-1,677","93"
"2017/07/25","-3,431","-501"
"2017/07/26","-3,517","189"
"2017/07/27","-2,082","92"
"2017/07/28","-5,600","-938"
"2017/07/31","-2,550","-44"
"2017/08/01","-352","-303"
"2017/08/02","1,364","208"
"2017/08/03","-4,025","-570"
"2017/08/04","-1,634","-330"
"2017/08/07","932","82"
"2017/08/08","918","-178"
"2017/08/09","-2,552","-503"
"2017/08/10","-2,246","235"
"2017/08/11","-5,872","-108"
"2017/08/14","-2,572","133"
"2017/08/16","-1,015","583"
"2017/08/17","1,730","513"
"2017/08/18","85","360"
"2017/08/21","-202","-435"
"2017/08/22","639","527"
"2017/08/23","1,079","146"
"2017/08/24","190","584"
"2017/08/25","-251","433"
"2017/08/28","-606","307"
"2017/08/29","-2,631","274"
"2017/08/30","-656","74"
"2017/08/31","-1,073","732"
"2017/09/01","763","276"
"2017/09/04","66","199"
"2017/09/05","-2,107","-503"
"2017/09/06","-3,264","207"
"2017/09/07","707","386"
"2017/09/08","150","-304"
"2017/09/11","-1,506","378"
"2017/09/12","-1,850","764"
"2017/09/13","-73","-23"
"2017/09/14","-227","612"
"2017/09/15","-845","386"
"2017/09/18","2,211","817"
"2017/09/19","-1,433","-200"
"2017/09/20","-1,881","411"
"2017/09/21","994","265"
"2017/09/22","283","65"
"2017/09/25","-333","227"
"2017/09/26","-3,771","417"
"2017/09/27","-2,810","309"
"2017/09/28","-1,290","-128"
"2017/09/29","318","444"
"2017/10/10","8,196","8"
"2017/10/11","7,020","908"
"2017/10/12","2,444","-320"
"2017/10/13","-349","205"
"2017/10/16","-290","268"
"2017/10/17","-541","1,830"
"2017/10/18","-293","661"
"2017/10/19","13","256"
"2017/10/20","2,014","-119"
"2017/10/23","3,151","-334"
"2017/10/24","-1,002","29"
"2017/10/25","1,129","-194"
"2017/10/26","-258","-688"
"2017/10/27","1,276","-132"
"2017/10/30","2,805","200"
"2017/10/31","4,444","-394"
"2017/11/01","3,047","-423"
"2017/11/02","-19","-130"
"2017/11/03","-1,477","-874"
"2017/11/06","1,443","-790"
"2017/11/07","2,442","-1,146"
"2017/11/08","528","25"
"2017/11/09","-671","-592"
"2017/11/10","-1,858","468"
"2017/11/13","-281","1,198"
"2017/11/14","-976","1,349"
"2017/11/15","-657","2,047"
"2017/11/16","2,867","2,144"
"2017/11/17","5,554","555"
"2017/11/20","2,140","896"
"2017/11/21","3,933","-188"
"2017/11/22","424","-197"
"2017/11/23","-763","636"
"2017/11/24","-1,100","-623"
"2017/11/27","-4,533","-99"
"2017/11/28","-1,611","-1,101"
"2017/11/29","-1,602","997"
"2017/11/30","-5,999","412"
"2017/12/01","-1,945","498"
"2017/12/04","1,505","-416"
"2017/12/05","331","-383"
"2017/12/06","-3,387","933"
"2017/12/07","-3,411","-258"
"2017/12/08","-1,019","-525"
"2017/12/11","-1,655","836"
"2017/12/12","-2,388","-1,449"
"2017/12/13","-2,049","907"
"2017/12/14","3,815","-432"
"2017/12/15","-2,022","564"
"2017/12/18","-1,650","520"
"2017/12/19","641","671"
"2017/12/20","-3,067","-707"
"2017/12/21","-3,281","289"
"2017/12/22","1,329","2,255"
"2017/12/26","246","563"
"2017/12/27","-1,156","959"
"2017/12/28","1,793","-368"
"2017/12/29","",""
"2018/01/02","2,657","878"
"2018/01/03","4,006","600"
"2018/01/04","3,396","-35"
"2018/01/05","2,466","1,855"
"2018/01/08","3,911","1,401"
"2018/01/09","436","386"
"2018/01/10","-2,804","92"
"2018/01/11","1,743","-3"
"2018/01/12","-1,179","215"
"2018/01/15","243","1,751"
"2018/01/16","2,798","447"
"2018/01/17","658","-1,202"
"2018/01/18","934","217"
"2018/01/19","-808","-1,355"
"2018/01/22","-1,766","-720"
"2018/01/23","2,163","1,018"
"2018/01/24","-143","-666"
"2018/01/25","3,772","-524"
"2018/01/26","1,832","41"
"2018/01/29","3,246","-866"
"2018/01/30","-1,175","-401"
"2018/01/31","-6,630","-1,782"
"2018/02/01","-2,718","-1,883"
"2018/02/02","-4,728","-2,865"
"2018/02/05","-4,555","-2,255"
"2018/02/06","-2,813","13"
"2018/02/07","-1,961","-1,871"
"2018/02/08","884","82"
"2018/02/09","-3,170","-2,287"
"2018/02/12","-802","-998"
"2018/02/13","3,315","-686"
"2018/02/14","1,068","631"
"2018/02/19","285","1,149"
"2018/02/20","290","-1,404"
"2018/02/21","-992","692"
"2018/02/22","-975","-839"
"2018/02/23","1,576","-443"
"2018/02/26","-1,813","327"
"2018/02/27","58","442"
"2018/02/28","1,439","-408"
"2018/03/02","-2,328","956"
"2018/03/05","-903","107"
"2018/03/06","135","1,463"
