일자,거래량_PUT,거래량_CALL,P/C Ratio
2016/03/09,850302,777145,1.09
2016/03/08,1140734,950890,1.2
2016/03/07,573731,430635,1.33
2016/03/04,626261,402054,1.56
2016/03/03,641322,454091,1.41
2016/03/02,983394,572291,1.72
2016/02/29,773416,544425,1.42
2016/02/26,549638,538968,1.02
2016/02/25,761632,686199,1.11
2016/02/24,589233,505949,1.16
2016/02/23,601208,487635,1.23
2016/02/22,641409,472149,1.36
2016/02/19,590593,451820,1.31
2016/02/18,625855,503040,1.24
2016/02/17,639488,548948,1.16
2016/02/16,716416,692409,1.03
2016/02/15,491356,472777,1.04
2016/02/12,643982,682558,0.94
2016/02/11,1574734,1387691,1.13
2016/02/05,798170,785965,1.02
2016/02/04,1023476,1107578,0.92
2016/02/03,925903,955949,0.97
2016/02/02,811976,922469,0.88
2016/02/01,1074281,911224,1.18
2016/01/29,1077384,912709,1.18
2016/01/28,866434,1015472,0.85
2016/01/27,969476,880680,1.1
2016/01/26,892421,1106753,0.81
2016/01/25,796833,669937,1.19
2016/01/22,810066,972287,0.83
2016/01/21,816790,884021,0.92
2016/01/20,876824,1087700,0.81
2016/01/19,699020,765916,0.91
2016/01/18,732529,762559,0.96
2016/01/15,945908,807735,1.17
2016/01/14,1775212,1829507,0.97
2016/01/13,1212066,1104428,1.1
2016/01/12,1239949,1152281,1.08
2016/01/11,1107485,1035718,1.07
2016/01/08,1502493,1315475,1.14
2016/01/07,1411862,1134378,1.24
2016/01/06,1457196,1011998,1.44
2016/01/05,1115744,1022079,1.09
2016/01/04,925216,1035961,0.89
2015/12/30,636856,626320,1.02
2015/12/29,662536,684165,0.97
2015/12/28,657491,646362,1.02
2015/12/24,499777,534783,0.93
2015/12/23,644542,622840,1.03
2015/12/22,461517,549974,0.84
2015/12/21,652761,561073,1.16
2015/12/18,530730,551665,0.96
2015/12/17,610864,608748,1.0
2015/12/16,610862,597039,1.02
2015/12/15,316140,232260,1.36
2015/12/14,536528,420254,1.28
2015/12/11,535414,405552,1.32
2015/12/10,1488436,1617815,0.92
2015/12/09,967500,894756,1.08
2015/12/08,1229857,1114361,1.1
2015/12/07,857314,1080355,0.79
2015/12/04,995732,937130,1.06
2015/12/03,1231240,1125728,1.09
2015/12/02,760421,729261,1.04
2015/12/01,1122243,1151601,0.97
2015/11/30,1410464,1134295,1.24
2015/11/27,472748,486725,0.97
2015/11/26,746557,846937,0.88
2015/11/25,433142,367477,1.18
2015/11/24,461615,398768,1.16
2015/11/23,581328,467760,1.24
2015/11/20,424979,321233,1.32
2015/11/19,593201,607447,0.98
2015/11/18,381792,375559,1.02
2015/11/17,545976,540126,1.01
2015/11/16,683074,492044,1.39
2015/11/13,573371,458990,1.25
2015/11/12,1353771,1186382,1.14
2015/11/11,1243505,1116225,1.11
2015/11/10,1192324,1150417,1.04
2015/11/09,723495,792606,0.91
2015/11/06,718924,815930,0.88
2015/11/05,710996,687118,1.03
2015/11/04,920461,821845,1.12
2015/11/03,739898,817062,0.91
2015/11/02,582516,641075,0.91
2015/10/30,685367,822052,0.83
2015/10/29,1119442,1093489,1.02
2015/10/28,623848,697827,0.89
2015/10/27,525245,550904,0.95
2015/10/26,499820,489470,1.02
2015/10/23,724523,842148,0.86
2015/10/22,581446,633443,0.92
2015/10/21,852432,760705,1.12
2015/10/20,445216,474257,0.94
2015/10/19,562186,603533,0.93
2015/10/16,459881,404640,1.14
2015/10/15,670771,711637,0.94
2015/10/14,573270,423167,1.35
2015/10/13,499586,484915,1.03
2015/10/12,650662,644843,1.01
2015/10/08,1801399,2083818,0.86
2015/10/07,1650525,1591483,1.04
2015/10/06,1162454,1281780,0.91
2015/10/05,1375039,1533356,0.9
2015/10/02,1040183,1138348,0.91
2015/10/01,1342825,1586483,0.85
2015/09/30,1127252,1375192,0.82
2015/09/25,820745,944939,0.87
2015/09/24,715472,672362,1.06
2015/09/23,886349,1024780,0.86
2015/09/22,733927,780255,0.94
2015/09/21,851684,810627,1.05
2015/09/18,1339812,1589961,0.84
2015/09/17,664500,766843,0.87
