지수명,종가,대비,등락률,PER,PBR,배당수익률,거래일자
코스닥 150 헬스케어,2051.38,38.66,1.92,,,,2015-01-23
코스닥 150 커뮤니케이션서비스,1673.08,8.28,0.5,,,,2015-01-23
코스닥 150 소재,730.72,6.91,0.95,,,,2015-01-23
코스닥 150 산업재,410.61,3.32,0.82,,,,2015-01-23
코스닥 150 필수소비재,1269.16,11.84,0.94,,,,2015-01-23
코스닥 150 자유소비재,1253.39,16.97,1.37,,,,2015-01-23
일반서비스,1911.35,14.58,0.77,34.16,2.08,0.84,2015-01-23
제조,1540.42,22.43,1.48,32.57,1.62,0.64,2015-01-23
건설,84.76,0.83,0.99,,0.98,0.84,2015-01-23
유통,443.01,5.06,1.16,129.73,2.1,0.74,2015-01-23
운송·창고,4410.49,65.86,1.52,9.73,0.56,0.73,2015-01-23
금융,693.23,0.13,0.02,24.52,1.34,0.58,2015-01-23
오락·문화,580.59,15.32,2.71,29.73,3.45,0.71,2015-01-23
음식료·담배,7714.8,62.57,0.82,17.1,1.32,0.84,2015-01-23
섬유·의류,198.85,8.76,4.61,,0.98,0.11,2015-01-23
코스닥,590.34,1.03,0.17,43.96,1.84,0.64,2015-01-26
코스닥 150,966.67,1.02,0.11,,,,2015-01-26
코스닥 150 정보기술,850.25,1.44,0.17,,,,2015-01-26
코스닥 150 헬스케어,2059.24,7.86,0.38,,,,2015-01-26
코스닥 150 커뮤니케이션서비스,1685.33,12.25,0.73,,,,2015-01-26
코스닥 150 소재,729.99,0.73,0.1,,,,2015-01-26
코스닥 150 산업재,409.74,0.87,0.21,,,,2015-01-26
코스닥 150 필수소비재,1262.61,6.55,0.52,,,,2015-01-26
코스닥 150 자유소비재,1245.52,7.87,0.63,,,,2015-01-26
일반서비스,1916.02,4.67,0.24,34.24,2.08,0.83,2015-01-26
제조,1543.28,2.86,0.19,32.63,1.62,0.64,2015-01-26
건설,85.44,0.68,0.8,,0.99,0.83,2015-01-26
유통,446.63,3.62,0.82,130.96,2.11,0.73,2015-01-26
운송·창고,4360.75,49.74,1.13,9.62,0.55,0.74,2015-01-26
