회사명,상장일,동행지수_순환변동치_3개월이동평균,경기국면
대명에너지,2022-05,1.0186077765386063,1
포바이포,2022-04,1.1138145558903148,1
지투파워,2022-04,1.1138145558903148,1
세아메카닉스,2022-03,1.242487313652883,1
공구우먼,2022-03,1.242487313652883,1
유일로보틱스,2022-03,1.242487313652883,1
모아데이타,2022-03,1.242487313652883,1
비씨엔씨,2022-03,1.242487313652883,1
노을,2022-03,1.242487313652883,1
풍원정밀,2022-02,1.0711860636650574,1
스톤브릿지벤처스,2022-02,1.0711860636650574,1
브이씨,2022-02,1.0711860636650574,1
퓨런티어,2022-02,1.0711860636650574,1
바이오에프디엔씨,2022-02,1.0711860636650574,1
나래나노텍,2022-02,1.0711860636650574,1
아셈스,2022-02,1.0711860636650574,1
스코넥,2022-02,1.0711860636650574,1
이지트로닉스,2022-02,1.0711860636650574,1
케이옥션,2022-01,0.6664612326721387,1
오토앤,2022-01,0.6664612326721387,1
케이티비네트워크,2021-12,0.1615216487615119,1
마인즈랩,2021-11,-0.2104290024271762,0
알비더블유,2021-11,-0.2104290024271762,0
트윔,2021-11,-0.2104290024271762,0
지오엘리먼트,2021-11,-0.2104290024271762,0
아이티아이즈,2021-11,-0.2104290024271762,0
비트나인,2021-11,-0.2104290024271762,0
디어유,2021-11,-0.2104290024271762,0
지니너스,2021-11,-0.2104290024271762,0
피코그램,2021-11,-0.2104290024271762,0
엔켐,2021-11,-0.2104290024271762,0
리파인,2021-10,-0.4161882815632841,0
지앤비에스엔지니어링,2021-10,-0.4161882815632841,0
아이패밀리에스씨,2021-10,-0.4161882815632841,0
차백신연구소,2021-10,-0.4161882815632841,0
지아이텍,2021-10,-0.4161882815632841,0
씨유테크,2021-10,-0.4161882815632841,0
아스플로,2021-10,-0.4161882815632841,0
원준,2021-10,-0.4161882815632841,0
실리콘투,2021-09,-0.4892187923022296,0
프롬바이오,2021-09,-0.4892187923022296,0
바이오플러스,2021-09,-0.4892187923022296,0
와이엠텍,2021-09,-0.4892187923022296,0
바이젠셀,2021-08,-0.4963132603034334,0
브레인즈컴퍼니,2021-08,-0.4963132603034334,0
딥노이드,2021-08,-0.4963132603034334,0
플래티어,2021-08,-0.4963132603034334,0
원티드랩,2021-08,-0.4963132603034334,0
HK이노엔,2021-08,-0.4963132603034334,0
맥스트,2021-07,-0.4709273030566265,0
큐라클,2021-07,-0.4709273030566265,0
오비고,2021-07,-0.4709273030566265,0
아모센스,2021-06,-0.5131793751405999,0
이노뎁,2021-06,-0.5131793751405999,0
엘비루셈,2021-06,-0.5131793751405999,0
에이디엠코리아,2021-06,-0.5131793751405999,0
제주맥주,2021-05,-0.8565176307691758,0
진시스템,2021-05,-0.8565176307691758,0
삼영에스앤씨,2021-05,-0.8565176307691758,0
샘씨엔에스,2021-05,-0.8565176307691758,0
씨앤씨인터내셔널,2021-05,-0.8565176307691758,0
에이치피오,2021-05,-0.8565176307691758,0
쿠콘,2021-04,-1.334386264438758,0
해성티피씨,2021-04,-1.334386264438758,0
이삭엔지니어링,2021-04,-1.334386264438758,0
엔시스,2021-04,-1.334386264438758,0
자이언트스텝,2021-03,-1.7468895283800947,0
제노코,2021-03,-1.7468895283800947,0
라이프시맨틱스,2021-03,-1.7468895283800947,0
바이오다인,2021-03,-1.7468895283800947,0
프레스티지바이오로직스,2021-03,-1.7468895283800947,0
싸이버원,2021-03,-1.7468895283800947,0
나노씨엠에스,2021-03,-1.7468895283800947,0
뷰노,2021-02,-1.7607880453002782,0
유일에너테크,2021-02,-1.7607880453002782,0
오로스테크놀로지,2021-02,-1.7607880453002782,0
아이퀘스트,2021-02,-1.7607880453002782,0
레인보우로보틱스,2021-02,-1.7607880453002782,0
와이더플래닛,2021-02,-1.7607880453002782,0
핑거,2021-01,-1.6094956254872177,0
모비릭스,2021-01,-1.6094956254872177,0
씨앤투스성진,2021-01,-1.6094956254872177,0
선진뷰티사이언스,2021-01,-1.6094956254872177,0
엔비티,2021-01,-1.6094956254872177,0
석경에이티,2020-12,-1.6597458262346505,0
프리시젼바이오,2020-12,-1.6597458262346505,0
알체라,2020-12,-1.6597458262346505,0
티엘비,2020-12,-1.6597458262346505,0
인바이오,2020-12,-1.6597458262346505,0
엔젠바이오,2020-12,-1.6597458262346505,0
퀀타매트릭스,2020-12,-1.6597458262346505,0
클리노믹스,2020-12,-1.6597458262346505,0
포인트모바일,2020-12,-1.6597458262346505,0
앱코,2020-12,-1.6597458262346505,0
엔에프씨,2020-12,-1.6597458262346505,0
제일전기공업,2020-11,-1.9115931192219289,0
하나기술,2020-11,-1.9115931192219289,0
티앤엘,2020-11,-1.9115931192219289,0
고바이오랩,2020-11,-1.9115931192219289,0
네패스아크,2020-11,-1.9115931192219289,0
소룩스,2020-11,-1.9115931192219289,0
위드텍,2020-10,-2.3984125027809617,0
센코,2020-10,-2.3984125027809617,0
바이브컴퍼니,2020-10,-2.3984125027809617,0
피플바이오,2020-10,-2.3984125027809617,0
넥스틴,2020-10,-2.3984125027809617,0
원방테크,2020-09,-2.8202308919633907,0
박셀바이오,2020-09,-2.8202308919633907,0
비비씨,2020-09,-2.8202308919633907,0
핌스,2020-09,-2.8202308919633907,0
압타머사이언스,2020-09,-2.8202308919633907,0
이오플로우,2020-09,-2.8202308919633907,0
카카오게임즈,2020-09,-2.8202308919633907,0
피엔케이,2020-09,-2.8202308919633907,0
아이디피,2020-08,-3.210390028884836,0
셀레믹스,2020-08,-3.210390028884836,0
브랜드엑스코퍼레이션,2020-08,-3.210390028884836,0
영림원소프트랩,2020-08,-3.210390028884836,0
한국파마,2020-08,-3.210390028884836,0
이루다,2020-08,-3.210390028884836,0
와이팜,2020-07,-3.402209894620095,0
엠투아이,2020-07,-3.402209894620095,0
더네이쳐홀딩스,2020-07,-3.402209894620095,0
솔트룩스,2020-07,-3.402209894620095,0
에이프로,2020-07,-3.402209894620095,0
신도기연,2020-07,-3.402209894620095,0
위더스제약,2020-07,-3.402209894620095,0
마크로밀엠브레인,2020-07,-3.402209894620095,0
엘이티,2020-06,-3.128985698715946,0
에스씨엠생명과학,2020-06,-3.128985698715946,0
드림씨아이에스,2020-05,-2.423986399099609,0
엔피디,2020-03,-0.318289709874468,0
플레이디,2020-03,-0.318289709874468,0
서울바이오시스,2020-03,-0.318289709874468,0
제이앤티씨,2020-03,-0.318289709874468,0
켄코아에어로스페이스,2020-03,-0.318289709874468,0
레몬,2020-02,0.2826323132703502,1
서남,2020-02,0.2826323132703502,1
피피아이,2019-12,0.2478850818575798,1
천랩,2019-12,0.2478850818575798,1
메탈라이프,2019-12,0.2478850818575798,1
브릿지바이오,2019-12,0.2478850818575798,1
메드팩토,2019-12,0.2478850818575798,1
신테카바이오,2019-12,0.2478850818575798,1
제이엘케이인스펙션,2019-12,0.2478850818575798,1
태웅로직스,2019-12,0.2478850818575798,1
코리아센터,2019-11,0.1457818395072744,1
노터스,2019-11,0.1457818395072744,1
티움바이오,2019-11,0.1457818395072744,1
씨에스베어링,2019-11,0.1457818395072744,1
우양,2019-11,0.1457818395072744,1
에스제이그룹,2019-11,0.1457818395072744,1
제테마,2019-11,0.1457818395072744,1
라파스,2019-11,0.1457818395072744,1
아이티엠반도체,2019-11,0.1457818395072744,1
티라유텍,2019-10,0.1428991457453984,1
캐리소프트,2019-10,0.1428991457453984,1
케이엔제이,2019-10,0.1428991457453984,1
엔바이오니아,2019-10,0.1428991457453984,1
팜스빌,2019-10,0.1428991457453984,1
라온피플,2019-10,0.1428991457453984,1
아톤,2019-10,0.1428991457453984,1
녹십자웰빙,2019-10,0.1428991457453984,1
올리패스,2019-09,0.0393489556352998,1
라닉스,2019-09,0.0393489556352998,1
한독크린텍,2019-09,0.0393489556352998,1
네오크레마,2019-08,-0.0314245450431987,0
마니커에프앤지,2019-08,-0.0314245450431987,0
나노브릭,2019-08,-0.0314245450431987,0
에스피시스템스,2019-08,-0.0314245450431987,0
레이,2019-08,-0.0314245450431987,0
코윈테크,2019-08,-0.0314245450431987,0
덕산테코피아,2019-08,-0.0314245450431987,0
슈프리마아이디,2019-08,-0.0314245450431987,0
한국바이오젠,2019-08,-0.0314245450431987,0
세경하이테크,2019-07,-0.0693108074620975,0
윌링스,2019-07,-0.0693108074620975,0
대모,2019-07,-0.0693108074620975,0
에이스토리,2019-07,-0.0693108074620975,0
플리토,2019-07,-0.0693108074620975,0
세틀뱅크,2019-07,-0.0693108074620975,0
아이스크림에듀,2019-07,-0.0693108074620975,0
펌텍코리아,2019-07,-0.0693108074620975,0
에이에프더블류,2019-07,-0.0693108074620975,0
압타바이오,2019-06,-0.2075323736533552,0
까스텔바쟉,2019-06,-0.2075323736533552,0
마이크로디지탈,2019-06,-0.2075323736533552,0
컴퍼니케이,2019-05,-0.2793112508433306,0
아모그린텍,2019-03,-0.0230870732919517,0
이지케어텍,2019-03,-0.0230870732919517,0
에코프로비엠,2019-03,-0.0230870732919517,0
셀리드,2019-02,0.1384819326996241,1
천보,2019-02,0.1384819326996241,1
이노테라피,2019-02,0.1384819326996241,1
노랑풍선,2019-01,0.3336235531545857,1
웹케시,2019-01,0.3336235531545857,1
비피도,2018-12,0.3624544329810722,1
유틸렉스,2018-12,0.3624544329810722,1
디케이티,2018-12,0.3624544329810722,1
위지윅스튜디오,2018-12,0.3624544329810722,1
에이비엘바이오,2018-12,0.3624544329810722,1
머큐리,2018-12,0.3624544329810722,1
전진바이오팜,2018-12,0.3624544329810722,1
뉴트리,2018-12,0.3624544329810722,1
이노메트리,2018-12,0.3624544329810722,1
골든브릿지이안5호,2018-12,0.3624544329810722,1
대유에이피,2018-12,0.3624544329810722,1
에코캡,2018-12,0.3624544329810722,1
베스파,2018-12,0.3624544329810722,1
남화산업,2018-11,0.4917553094981362,1
티로보틱스,2018-11,0.4917553094981362,1
엠아이텍,2018-11,0.4917553094981362,1
티앤알바이오팹,2018-11,0.4917553094981362,1
네오펙트,2018-11,0.4917553094981362,1
싸이토젠,2018-11,0.4917553094981362,1
디알젬,2018-11,0.4917553094981362,1
파멥신,2018-11,0.4917553094981362,1
디케이앤디,2018-11,0.4917553094981362,1
디자인,2018-11,0.4917553094981362,1
노바렉스,2018-11,0.4917553094981362,1
셀리버리,2018-11,0.4917553094981362,1
대보마그네틱,2018-11,0.4917553094981362,1
노바텍,2018-11,0.4917553094981362,1
엘앤씨바이오,2018-11,0.4917553094981362,1
로보티즈,2018-10,0.654970789975233,1
옵티팜,2018-10,0.654970789975233,1
에스퓨얼셀,2018-10,0.654970789975233,1
푸드나무,2018-10,0.654970789975233,1
크리스에프앤씨,2018-10,0.654970789975233,1
명성티엔에스,2018-09,0.7855416872735835,1
액트로,2018-08,0.9169037604674486,1
에이피티씨,2018-08,0.9169037604674486,1
바이오솔루션,2018-08,0.9169037604674486,1
대유,2018-08,0.9169037604674486,1
디아이티,2018-08,0.9169037604674486,1
에스에스알,2018-08,0.9169037604674486,1
휴네시온,2018-08,0.9169037604674486,1
한국유니온제약,2018-07,0.9491533740192798,1
엠코르셋,2018-07,0.9491533740192798,1
올릭스,2018-07,0.9491533740192798,1
아이큐어,2018-07,0.9491533740192798,1
SV인베스트먼트,2018-07,0.9491533740192798,1
EDGC,2018-06,0.9823798175168198,1
파워넷,2018-06,0.9823798175168198,1
현대사료,2018-06,0.9823798175168198,1
세종메디칼,2018-05,1.049998390166844,1
제노레이,2018-05,1.049998390166844,1
케어랩스,2018-03,1.155368030880486,1
에코마이스터,2018-03,1.155368030880486,1
린드먼아시아,2018-03,1.155368030880486,1
동구바이오제약,2018-02,1.0599097011649403,1
알리코제약,2018-02,1.0599097011649403,1
카페24,2018-02,1.0599097011649403,1
배럴,2018-02,1.0599097011649403,1
SG,2018-01,1.1324238920062015,1
씨앤지하이테크,2018-01,1.1324238920062015,1
시스웍,2017-12,1.172951161823254,1
디바이스이엔지,2017-12,1.172951161823254,1
씨티케이코스메틱스,2017-12,1.172951161823254,1
메카로,2017-12,1.172951161823254,1
에스트래픽,2017-12,1.172951161823254,1
체리부로,2017-12,1.172951161823254,1
대원,2017-12,1.172951161823254,1
비즈니스온,2017-11,1.3481899978630498,1
스튜디오드래곤,2017-11,1.3481899978630498,1
영화테크,2017-10,1.2581631701567677,1
상신전자,2017-10,1.2581631701567677,1
야스,2017-09,1.2028830460349835,1
에스엔피월드,2017-09,1.2028830460349835,1
유티아이,2017-09,1.2028830460349835,1
신흥에스이씨,2017-09,1.2028830460349835,1
선익시스템,2017-09,1.2028830460349835,1
엠플러스,2017-09,1.2028830460349835,1
앱클론,2017-09,1.2028830460349835,1
샘코,2017-09,1.2028830460349835,1
펄어비스,2017-09,1.2028830460349835,1
덕우전자,2017-08,1.11568561811247,1
이더블유케이,2017-08,1.11568561811247,1
알에스오토메이션,2017-08,1.11568561811247,1
컬러레이,2017-08,1.11568561811247,1
모트렉스,2017-08,1.11568561811247,1
데이타솔루션,2017-08,1.11568561811247,1
지니언스,2017-08,1.11568561811247,1
디앤씨미디어,2017-08,1.11568561811247,1
셀트리온헬스케어,2017-07,1.129897597499048,1
이즈미디어,2017-07,1.129897597499048,1
힘스,2017-07,1.129897597499048,1
브이원텍,2017-07,1.129897597499048,1
아우딘퓨쳐스,2017-07,1.129897597499048,1
제일홀딩스,2017-06,1.1121704199525624,1
보라티알,2017-06,1.1121704199525624,1
