회사명,상장일,PC1,cycle_pc1,경기국면
아모센스,2021-06,-1.1224956067055438,0.4704254114587958,1
이노뎁,2021-06,-1.1224956067055438,0.4704254114587958,1
엘비루셈,2021-06,-1.1224956067055438,0.4704254114587958,1
에이디엠코리아,2021-06,-1.1224956067055438,0.4704254114587958,1
제주맥주,2021-05,-1.0386449124582149,0.4372749811494658,1
진시스템,2021-05,-1.0386449124582149,0.4372749811494658,1
삼영에스앤씨,2021-05,-1.0386449124582149,0.4372749811494658,1
샘씨엔에스,2021-05,-1.0386449124582149,0.4372749811494658,1
씨앤씨인터내셔널,2021-05,-1.0386449124582149,0.4372749811494658,1
에이치피오,2021-05,-1.0386449124582149,0.4372749811494658,1
쿠콘,2021-04,-0.845402259696996,0.5140715362399241,1
해성티피씨,2021-04,-0.845402259696996,0.5140715362399241,1
이삭엔지니어링,2021-04,-0.845402259696996,0.5140715362399241,1
엔시스,2021-04,-0.845402259696996,0.5140715362399241,1
자이언트스텝,2021-03,-0.5292163188283862,0.7144606197833144,1
제노코,2021-03,-0.5292163188283862,0.7144606197833144,1
라이프시맨틱스,2021-03,-0.5292163188283862,0.7144606197833144,1
바이오다인,2021-03,-0.5292163188283862,0.7144606197833144,1
프레스티지바이오로직스,2021-03,-0.5292163188283862,0.7144606197833144,1
싸이버원,2021-03,-0.5292163188283862,0.7144606197833144,1
나노씨엠에스,2021-03,-0.5292163188283862,0.7144606197833144,1
뷰노,2021-02,-0.1586509311961865,0.9699686372941172,1
유일에너테크,2021-02,-0.1586509311961865,0.9699686372941172,1
오로스테크놀로지,2021-02,-0.1586509311961865,0.9699686372941172,1
아이퀘스트,2021-02,-0.1586509311961865,0.9699686372941172,1
레인보우로보틱스,2021-02,-0.1586509311961865,0.9699686372941172,1
와이더플래닛,2021-02,-0.1586509311961865,0.9699686372941172,1
핑거,2021-01,0.1247579480123857,1.1391443676299733,1
모비릭스,2021-01,0.1247579480123857,1.1391443676299733,1
씨앤투스성진,2021-01,0.1247579480123857,1.1391443676299733,1
선진뷰티사이언스,2021-01,0.1247579480123857,1.1391443676299733,1
엔비티,2021-01,0.1247579480123857,1.1391443676299733,1
석경에이티,2020-12,0.3185344476363079,1.219589189348813,1
프리시젼바이오,2020-12,0.3185344476363079,1.219589189348813,1
알체라,2020-12,0.3185344476363079,1.219589189348813,1
티엘비,2020-12,0.3185344476363079,1.219589189348813,1
인바이오,2020-12,0.3185344476363079,1.219589189348813,1
엔젠바이오,2020-12,0.3185344476363079,1.219589189348813,1
퀀타매트릭스,2020-12,0.3185344476363079,1.219589189348813,1
클리노믹스,2020-12,0.3185344476363079,1.219589189348813,1
포인트모바일,2020-12,0.3185344476363079,1.219589189348813,1
앱코,2020-12,0.3185344476363079,1.219589189348813,1
엔에프씨,2020-12,0.3185344476363079,1.219589189348813,1
제일전기공업,2020-11,0.5604413009909172,1.3491342957907315,1
하나기술,2020-11,0.5604413009909172,1.3491342957907315,1
티앤엘,2020-11,0.5604413009909172,1.3491342957907315,1
고바이오랩,2020-11,0.5604413009909172,1.3491342957907315,1
네패스아크,2020-11,0.5604413009909172,1.3491342957907315,1
소룩스,2020-11,0.5604413009909172,1.3491342957907315,1
위드텍,2020-10,0.662990200452047,1.3403504289459094,1
센코,2020-10,0.662990200452047,1.3403504289459094,1
바이브컴퍼니,2020-10,0.662990200452047,1.3403504289459094,1
피플바이오,2020-10,0.662990200452047,1.3403504289459094,1
넥스틴,2020-10,0.662990200452047,1.3403504289459094,1
원방테크,2020-09,0.6202023025935952,1.1873073850157398,1
박셀바이오,2020-09,0.6202023025935952,1.1873073850157398,1
비비씨,2020-09,0.6202023025935952,1.1873073850157398,1
핌스,2020-09,0.6202023025935952,1.1873073850157398,1
압타머사이언스,2020-09,0.6202023025935952,1.1873073850157398,1
이오플로우,2020-09,0.6202023025935952,1.1873073850157398,1
카카오게임즈,2020-09,0.6202023025935952,1.1873073850157398,1
피엔케이,2020-09,0.6202023025935952,1.1873073850157398,1
아이디피,2020-08,0.8505611307451045,1.308526984747162,1
셀레믹스,2020-08,0.8505611307451045,1.308526984747162,1
브랜드엑스코퍼레이션,2020-08,0.8505611307451045,1.308526984747162,1
영림원소프트랩,2020-08,0.8505611307451045,1.308526984747162,1
한국파마,2020-08,0.8505611307451045,1.308526984747162,1
이루다,2020-08,0.8505611307451045,1.308526984747162,1
와이팜,2020-07,0.9796456456136864,1.3296173249422687,1
엠투아이,2020-07,0.9796456456136864,1.3296173249422687,1
더네이쳐홀딩스,2020-07,0.9796456456136864,1.3296173249422687,1
솔트룩스,2020-07,0.9796456456136864,1.3296173249422687,1
에이프로,2020-07,0.9796456456136864,1.3296173249422687,1
신도기연,2020-07,0.9796456456136864,1.3296173249422687,1
위더스제약,2020-07,0.9796456456136864,1.3296173249422687,1
마크로밀엠브레인,2020-07,0.9796456456136864,1.3296173249422687,1
엘이티,2020-06,1.1832751732070397,1.4264167710449054,1
에스씨엠생명과학,2020-06,1.1832751732070397,1.4264167710449054,1
드림씨아이에스,2020-05,1.470859002376528,1.6083433919496453,1
엔피디,2020-03,0.6852293267785646,0.6148966044069013,1
플레이디,2020-03,0.6852293267785646,0.6148966044069013,1
서울바이오시스,2020-03,0.6852293267785646,0.6148966044069013,1
제이앤티씨,2020-03,0.6852293267785646,0.6148966044069013,1
켄코아에어로스페이스,2020-03,0.6852293267785646,0.6148966044069013,1
레몬,2020-02,0.2971511848569819,0.1246207450444827,1
서남,2020-02,0.2971511848569819,0.1246207450444827,1
피피아이,2019-12,0.4578908717605398,0.0842508470357452,1
천랩,2019-12,0.4578908717605398,0.0842508470357452,1
메탈라이프,2019-12,0.4578908717605398,0.0842508470357452,1
브릿지바이오,2019-12,0.4578908717605398,0.0842508470357452,1
메드팩토,2019-12,0.4578908717605398,0.0842508470357452,1
신테카바이오,2019-12,0.4578908717605398,0.0842508470357452,1
