회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
엔에이치스펙5호,215790,2015-05-08,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","13,000,000",기업 인수 합병,"7,000,000"
유진에이씨피씨스팩2호,215090,2015-04-28,신규상장,주권,금융 지원 서비스업,대한민국,유진투자증권(주),100,"2,000","10,000,000",기업인수합병,"5,500,000"
하나머스트4호스팩,215100,2015-04-22,신규상장,주권,금융 지원 서비스업,대한민국,하나증권주식회사,100,"2,000","5,500,000",기업인수합병,"2,800,000"
한화에이스스팩1호,214680,2015-04-20,신규상장,주권,금융 지원 서비스업,대한민국,한화투자증권(주),100,"2,000","8,200,000",,"4,433,000"
유지인트,195990,2015-04-13,신규상장,주권,특수 목적용 기계 제조업,대한민국,한국투자증권(주),500,"15,000","30,900,000",소형 머시닝센터,"10,314,800"
케이티비스팩2호,214150,2015-04-03,신규상장,주권,금융 지원 서비스업,대한민국,다올투자증권 주식회사,100,"2,000","10,000,000",기업인수,"5,500,000"
SK1호스팩,207930,2015-03-31,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","10,000,000",기업인수합병,"5,500,000"
케이비제7호스팩,214270,2015-03-25,신규상장,주권,금융 지원 서비스업,대한민국,케이비투자증권(주),100,"2,000","8,000,000",기업인수합병,"5,350,000"
포시에스,189690,2015-02-11,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,DB증권주식회사,500,"9,100","11,830,000",기업용 리포팅 SW 및 BI(Business Intelligence) 솔루션 OZ 시리즈,"6,212,799"
골든브릿지제2호스팩,206660,2015-02-05,신규상장,주권,금융 지원 서비스업,대한민국,(주)상상인증권,100,"2,000","7,000,000",기업인수 및 합병,"3,900,000"
