회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
에코프로머티,450080,2023-11-17,신규상장,주권,일차전지 및 이차전지 제조업,대한민국,"미래에셋증권 주식회사,엔에이치투자증권주식회사",500,"36,200","419,224,960",배터리 양극재용 핵심소재 하이니켈 전구체,"68,226,958"
두산로보틱스,454910,2023-10-05,신규상장,주권,특수 목적용 기계 제조업,대한민국,"한국투자증권(주),CS증권 서울지점,KB증권(주),엔에이치투자증권주식회사,미래에셋증권 주식회사",500,"26,000","421,200,000",협동로봇,"64,819,980"
넥스틸,092790,2023-08-21,신규상장,주권,1차 철강 제조업,대한민국,하나증권주식회사,500,"11,500","80,500,000","OCTG Pipe, Line Pipe, Standard Pipe, 일반관","26,002,000"
삼성FN리츠,448730,2023-04-10,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"한국투자증권(주),삼성증권(주)",500,"5,000","118,900,000",대치타워 및 에스원빌딩,"77,300,000"
한화리츠,451800,2023-03-27,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"한국투자증권(주),한화투자증권(주)",500,"5,000","116,000,000",부동산투자,"70,600,000"
바이오노트,377740,2022-12-22,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,"한국투자증권(주),엔에이치투자증권주식회사",500,"9,000","93,600,000","Rapid 반제품 및 완제품, 동물용신속진단 키트","101,876,048"
KB스타리츠,432320,2022-10-06,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,KB증권(주),500,"5,000","153,500,000","벨기에 North Galaxy Towers, 영국 Samsung Europe HQ","101,414,285"
쏘카,403550,2022-08-22,신규상장,주권,운송장비 임대업,대한민국,미래에셋증권 주식회사,100,"28,000","101,920,000","카셰어링, 모빌리티 플랫폼 등","32,725,652"
수산인더스트리,126720,2022-08-01,신규상장,주권,건물설비 설치 공사업,대한민국,삼성증권(주),200,"35,000","200,025,000",전력발전설비 정비 용역,"14,286,000"
마스턴프리미어리츠,357430,2022-05-31,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,삼성증권(주),"1,000","5,000","59,300,000","프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터","26,580,000"
코람코더원리츠,417310,2022-03-28,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"삼성증권(주),하나증권주식회사",500,"5,000","97,500,000",서울 영등포구 여의도 소재 하나금융투자 빌딩,"40,400,000"
LG에너지솔루션,373220,2022-01-27,신규상장,주권,일차전지 및 이차전지 제조업,대한민국,"KB증권(주),모건스탠리 인터내셔날증권회사 서울지점",500,"300,000","12,750,000,000","2차전지 (소형,ESS,자동차전지)","234,000,000"
신한서부티엔디리츠,404990,2021-12-10,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,한국투자증권(주),"1,000","5,000","134,889,210",부동산투자,"55,955,884"
미래에셋글로벌리츠,396690,2021-12-03,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,미래에셋증권 주식회사,"1,000","5,000","75,100,000",부동산 임대업,"29,060,000"
NH올원리츠,400760,2021-11-18,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,한국투자증권(주),500,"5,000","140,500,000",부동산투자,"42,200,000"
카카오페이,377300,2021-11-03,신규상장,주권,금융 지원 서비스업,대한민국,"삼성증권(주),골드만삭스증권 서울지점,제이피모간증권회사 서울지점",500,"90,000","1,530,000,000","간편결제, 간편송금 및 기타 금융서비스","130,367,125"
케이카,381970,2021-10-13,신규상장,주권,자동차 판매업,대한민국,"엔에이치투자증권주식회사,골드만삭스증권 서울지점",500,"25,000","336,605,775",오프라인 및 온라인 중고차 매매업,"48,086,533"
현대중공업,329180,2021-09-17,신규상장,주권,선박 및 보트 건조업,대한민국,"한국투자증권(주),CS증권 서울지점,미래에셋증권 주식회사","5,000","60,000","1,080,000,000","선박, 해양플랜트 및 엔진기계 등","88,773,116"
SK리츠,395400,2021-09-14,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"한국투자증권(주),삼성증권(주)",500,"5,000","232,551,330",서울 중구 소재 SK서린빌딩 및 전국 116개 주유소 임대 운영,"155,020,532"
일진하이솔루스,271940,2021-09-01,신규상장,주권,그외 기타 운송장비 제조업,대한민국,"미래에셋증권 주식회사,삼성증권(주)",500,"34,300","373,663,857","수소승용용기, 매연저감장치 등","36,313,190"
디앤디플랫폼리츠,377190,2021-08-27,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"신한투자증권 주식회사,엔에이치투자증권주식회사,대신증권(주)","1,000","5,000","175,000,000",부동산 투자 및 관리,"64,400,000"
아주스틸,139990,2021-08-20,신규상장,주권,1차 철강 제조업,대한민국,미래에셋증권 주식회사,500,"15,100","104,756,250","프리미엄 가전용 고품질 컬러강판, 건자재 등","26,452,189"
롯데렌탈,089860,2021-08-19,신규상장,주권,운송장비 임대업,대한민국,"한국투자증권(주),엔에이치투자증권주식회사","5,000","59,000","850,898,000","렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)","36,634,063"
한컴라이프케어,372910,2021-08-17,신규상장,주권,의료용 기기 제조업,대한민국,미래에셋증권 주식회사,200,"13,700","113,741,798","공기호흡기, 방독면, 보호복 등","27,674,406"
크래프톤,259960,2021-08-10,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,미래에셋증권 주식회사,100,"498,000","4,309,806,540",등 게임 소프트웨어,"48,898,070"
카카오뱅크,323410,2021-08-06,신규상장,주권,은행 및 저축기관,대한민국,"KB증권(주),CS증권 서울지점","5,000","39,000","2,552,550,000",은행 및 금융서비스,"475,100,237"
에스디바이오센서,137310,2021-07-16,신규상장,주권,의료용 기기 제조업,대한민국,"한국투자증권(주),엔에이치투자증권주식회사",500,"52,000","776,380,800",STANDARD Q 항원/항체 진단키트(COVID-19 진단키트),"103,271,353"
엔에이치스팩19호,380440,2021-05-21,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","96,000,000",기타 금융지원(SPAC),"51,290,000"
SK아이이테크놀로지,361610,2021-05-11,신규상장,주권,일차전지 및 이차전지 제조업,대한민국,"미래에셋증권 주식회사,제이피모간증권회사 서울지점","1,000","105,000","2,245,950,000",2차전지용 습식 분리막 및 폴더블 커버 윈도우,"71,297,592"
SK바이오사이언스,302440,2021-03-18,신규상장,주권,기초 의약물질 제조업,대한민국,엔에이치투자증권주식회사,500,"65,000","1,491,750,000",백신 제품 및 제제,"76,500,000"
피비파마,950210,2021-02-05,신규상장,주식예탁증권,자연과학 및 공학 연구개발업,싱가포르,삼성증권(주),무액면,"32,000","490,932,480",바이오시밀러 및 항체의약품 신약,"60,096,155"
솔루엠,248070,2021-02-02,신규상장,주권,전자부품 제조업,대한민국,"미래에셋증권 주식회사,KB증권(주)",500,"17,000","108,800,000","POWER, 3in1 Board, ESL 등","42,508,362"
ESR켄달스퀘어리츠,365550,2020-12-23,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"한국투자증권(주),씨티그룹글로벌마켓증권(주),모건스탠리 인터내셔날증권회사 서울지점","1,000","5,000","357,295,000",부동산투자,"143,259,000"
명신산업,009900,2020-12-07,신규상장,주권,자동차 신품 부품 제조업,대한민국,"미래에셋증권 주식회사,현대차증권주식회사",500,"6,500","102,237,142",자동차차체부품,"40,779,120"
에이플러스에셋,244920,2020-11-20,신규상장,주권,보험 및 연금관련 서비스업,대한민국,"엔에이치투자증권주식회사,IBK투자증권(주)",500,"7,500","16,788,518",보험대리 및 중개업,"22,607,693"
교촌에프앤비,339770,2020-11-12,신규상장,주권,음·식료품 및 담배 도매업,대한민국,미래에셋증권 주식회사,500,"12,300","71,340,000",치킨 프랜차이즈,"24,982,540"
빅히트,352820,2020-10-15,신규상장,주권,오디오물 출판 및 원판 녹음업,대한민국,"한국투자증권(주),제이피모간증권회사 서울지점,엔에이치투자증권주식회사",500,"135,000","962,550,000","음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트","33,846,192"
코람코에너지리츠,357120,2020-08-31,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,엔에이치투자증권주식회사,500,"5,000","106,600,000",부동산 투자 및 관리,"69,620,000"
제이알글로벌리츠,348950,2020-08-07,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"메리츠증권(주),KB증권(주)","1,000","5,000","485,000,000",벨기에 파이낸스 타워,"165,600,000"
이지스레지던스리츠,350520,2020-08-05,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,삼성증권(주),"1,000","5,000","89,500,000","부동산투자, 취득, 매매, 임대","20,600,000"
미래에셋맵스리츠,357250,2020-08-05,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,미래에셋증권 주식회사,"1,000","5,000","72,000,000",부동산 임대업,"20,100,000"
이지스밸류플러스리츠,334890,2020-07-16,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,삼성증권(주),"1,000","5,000","118,500,000","부동산투자, 취득, 매매, 임대","24,000,000"
에스케이바이오팜,326030,2020-07-02,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,"엔에이치투자증권주식회사,씨티그룹글로벌마켓증권(주)",500,"49,000","959,337,190",신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,"78,313,250"
NH프라임리츠,338100,2019-12-05,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,엔에이치투자증권주식회사,500,"5,000","68,800,000",부동산 투자,"18,660,000"
센트랄모텍,308170,2019-11-25,신규상장,주권,자동차 신품 부품 제조업,대한민국,한국투자증권(주),500,"6,000","12,600,000","이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬","8,400,000"
현대에너지솔루션,322000,2019-11-19,신규상장,주권,반도체 제조업,대한민국,한국투자증권(주),"5,000","18,000","57,600,000","태양광 셀·모듈, PV시스템, ESS","11,200,000"
한화시스템,272210,2019-11-13,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,"한국투자증권(주),씨티그룹글로벌마켓증권(주),엔에이치투자증권주식회사","5,000","12,250","402,552,444","정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조","110,230,389"
자이에스앤디,317400,2019-11-06,신규상장,주권,부동산 임대 및 공급업,대한민국,한국투자증권(주),"1,000","5,200","45,760,000","부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양","26,782,520"
지누스,013890,2019-10-30,신규상장,주권,가구 제조업,대한민국,엔에이치투자증권주식회사,500,"70,000","169,169,000",매트리스 및 가구제품,"14,206,749"
롯데리츠,330590,2019-10-30,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,"한국투자증권(주),노무라금융투자(주),홍콩상하이증권 서울지점",500,"5,000","429,922,210",부동산투자,"171,968,884"
현대오토에버,307950,2019-03-28,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,엔에이치투자증권주식회사,"5,000","48,000","168,480,000","전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업","21,000,000"
드림텍,192650,2019-03-14,신규상장,주권,전자부품 제조업,대한민국,엔에이치투자증권주식회사,100,"13,000","59,092,098","모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등","27,585,500"
우리금융지주,316140,2019-02-13,신규상장,주권,기타 금융업,대한민국,한국투자증권(주),"5,000",-,-,금융지주,"680,164,306"
에어부산,298690,2018-12-27,신규상장,주권,항공 여객 운송업,대한민국,"미래에셋증권 주식회사,엔에이치투자증권주식회사","5,000","3,600","18,745,200",항공 여객 및 화물 운송,"52,070,000"
아시아나IDT,267850,2018-11-23,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,KB증권(주),500,"15,000","39,600,000","IT 서비스, IT 솔루션","11,100,000"
하나제약,293480,2018-10-02,신규상장,주권,의약품 제조업,대한민국,미래에셋증권 주식회사,500,"26,000","106,117,960",완제의약품,"16,200,000"
우진아이엔에스,010400,2018-09-14,신규상장,주권,건물설비 설치 공사업,대한민국,신영증권(주),500,"15,000","31,500,000",반도체/디스플레이 코팅덕트,"7,622,000"
신한알파리츠,293940,2018-08-08,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,신한투자증권 주식회사,"1,000","5,000","114,000,000",비거주 부동산 임대 서비스업,"38,106,123"
티웨이항공,091810,2018-08-01,신규상장,주권,항공 여객 운송업,대한민국,"신한투자증권 주식회사,대신증권(주)",500,"12,000","192,000,000",저가 항공운송,"46,974,812"
롯데정보통신,286940,2018-07-27,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,미래에셋증권 주식회사,"5,000","29,800","127,722,800","SM, SI","14,286,000"
이리츠코크렙,088260,2018-06-27,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,엔에이치투자증권주식회사,"5,000","5,000","79,107,350",부동산투자회사,"63,341,590"
애경산업,018250,2018-03-22,신규상장,주권,기타 화학제품 제조업,대한민국,대신증권(주),"1,000","29,100","197,880,000","Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등","26,122,335"
동양피스톤,092780,2017-12-08,신규상장,주권,자동차용 엔진 및 자동차 제조업,대한민국,"대신증권(주),IBK투자증권(주)",500,"5,700","18,810,000",자동차엔진용 피스톤,"13,168,460"
진에어,272450,2017-12-08,신규상장,주권,항공 여객 운송업,대한민국,미래에셋증권 주식회사,"1,000","31,800","381,600,000","여객, 화물 등 항공운송","30,000,000"
삼양패키징,272550,2017-11-29,신규상장,주권,플라스틱제품 제조업,대한민국,한국투자증권(주),"5,000","26,000","119,481,700",PET 용기 및 아셉틱 OEM,"14,209,804"
테이팩스,055490,2017-10-31,신규상장,주권,플라스틱제품 제조업,대한민국,"신한투자증권 주식회사,KB증권(주)",500,"23,000","38,180,000","OCA, 2차전지용 테이프, 산업용 랩 등","4,717,650"
넷마블게임즈,251270,2017-05-12,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,"엔에이치투자증권주식회사,제이피모간증권회사 서울지점",100,"157,000","2,661,717,084",온라인·모바일 게임 소프트웨어 개발 및 공급,"84,730,000"
아이엔지생명,079440,2017-05-11,신규상장,주권,보험업,대한민국,"삼성증권(주),모건스탠리 인터내셔날증권회사 서울지점","1,000","33,000","1,105,500,000",생명보험상품,"82,000,000"
덴티움,145720,2017-03-15,신규상장,주권,의료용 기기 제조업,대한민국,엔에이치투자증권주식회사,500,"32,000","81,466,592",치과용 기기 제조업,"11,068,830"
호전실업,111110,2017-02-02,신규상장,주권,봉제의복 제조업,대한민국,엔에이치투자증권주식회사,500,"25,000","41,616,750",스포츠웨어 및 아웃도어 웨어 OEM,"8,000,000"
핸즈코퍼레이션,143210,2016-12-02,신규상장,주권,자동차 신품 부품 제조업,대한민국,케이비투자증권(주),500,"12,000","65,784,000",자동차 알루미늄 휠,"21,646,800"
두산밥캣,241560,2016-11-18,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,"한국투자증권(주),CS증권 서울지점,홍콩상하이증권 서울지점,제이피모간증권회사 서울지점,한화투자증권(주),신영증권(주)",500,"30,000","900,845,400","Compact Equipment, Heavy Equipment, Portable Power","100,249,166"
삼성바이오로직스,207940,2016-11-10,신규상장,주권,기초 의약물질 제조업,대한민국,"한국투자증권(주),씨티그룹글로벌마켓증권(주)","2,500","136,000","2,249,617,072",바이오의약품,"66,165,000"
JW생명과학,234080,2016-10-27,신규상장,주권,의약품 제조업,대한민국,케이비투자증권(주),"5,000","30,000","72,000,000","기초수액, TPN, 특수수액, HEMO, 영양수액 등","7,917,277"
화승엔터프라이즈,241590,2016-10-04,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,한국투자증권(주),500,"15,000","117,600,000",,"26,929,479"
모두투어리츠,204210,2016-09-22,신규상장,부동산투자회사,부동산 임대 및 공급업,대한민국,교보증권(주),"5,000","6,000","14,100,000","호텔 부동산 취득, 관리, 개량 및 처분","7,826,815"
엘에스전선 아시아,229640,2016-09-22,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,"한국투자증권(주),하나증권주식회사",500,"8,000","80,960,904",,"30,624,879"
두올,016740,2016-07-29,신규상장,주권,자동차 신품 부품 제조업,대한민국,미래에셋증권(주),"2,500","8,500","62,050,000",시트 커버 및 시트 원단,"17,755,500"
한국자산신탁,123890,2016-07-13,신규상장,주권,기타 금융업,대한민국,"신한투자증권 주식회사,대신증권(주)",500,"10,300","281,162,654","부동산 신탁 서비스, REITs","85,000,000"
해성디에스,195870,2016-06-24,신규상장,주권,전자부품 제조업,대한민국,엔에이치투자증권주식회사,"5,000","12,000","48,000,000",반도체 패키지용 Substrate,"17,000,000"
용평리조트,070960,2016-05-27,신규상장,주권,일반 및 생활 숙박시설 운영업,대한민국,미래에셋증권 주식회사,"5,000","7,000","93,632,000","리조트 운영, 콘도 분양","48,133,333"
해태제과식품,101530,2016-05-11,신규상장,주권,도시락 및 식사용 조리식품 제조업,대한민국,"엔에이치투자증권주식회사,삼성증권(주)",500,"15,100","88,033,000","홈런볼, 오예스, 맛동산, 부라보콘 등","19,209,740"
대림씨엔에스,004440,2016-03-30,신규상장,주권,"시멘트, 석회, 플라스터 및 그 제품 제조업",대한민국,미래에셋증권 주식회사,"1,000","27,700","123,436,214","PHC파일, 골재, 강교제작","12,731,947"
제이에스코퍼레이션,194370,2016-02-04,신규상장,주권,"가죽, 가방 및 유사제품 제조업",대한민국,엔에이치투자증권주식회사,100,"23,000","75,512,036",핸드백 및 지갑,"12,687,732"
코리아오토글라스,152330,2015-12-29,신규상장,주권,유리 및 유리제품 제조업,대한민국,엔에이치투자증권주식회사,"5,000","11,000","88,440,000",자동차 안전 유리,"20,000,000"
잇츠스킨,226320,2015-12-28,신규상장,주권,생활용품 도매업,대한민국,미래에셋증권 주식회사,500,"170,000","161,213,890","스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등","8,735,650"
세진중공업,075580,2015-11-30,신규상장,주권,선박 및 보트 건조업,대한민국,"신한투자증권 주식회사,미래에셋증권 주식회사",500,"3,500","20,054,475","선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter","38,292,720"
금호에이치티,214330,2015-11-11,신규상장,주권,자동차 신품 부품 제조업,대한민국,엔에이치투자증권주식회사,500,"10,000","44,959,500",자동차용 전구 및 LED모듈,"9,765,000"
제주항공,089590,2015-11-06,신규상장,주권,항공 여객 운송업,대한민국,엔에이치투자증권주식회사,"5,000","30,000","165,000,000","여객운송서비스, 화물운송서비스","25,906,758"
LIG넥스원,079550,2015-10-02,신규상장,주권,무기 및 총포탄 제조업,대한민국,엔에이치투자증권주식회사,"5,000","76,000","524,400,000",정밀유도무기 등,"22,000,000"
동일제강,002690,2015-09-24,신규상장,주권,1차 철강 제조업,대한민국,엔에이치투자증권주식회사,500,"3,000","15,000,000","PC강연선, 경강선, 도금선, 마봉강","15,000,000"
아이콘트롤스,039570,2015-09-24,신규상장,주권,전기 및 통신 공사업,대한민국,미래에셋증권 주식회사,500,"32,000","83,592,640","기계설비공사, 스마트홈, 지능형 빌딩, SOC","8,230,000"
AJ네트웍스,095570,2015-08-21,신규상장,주권,,대한민국,한국투자증권(주),"5,000","34,300","78,890,000","렌탈(파렛트, OA장비, 고소장비 등)","9,364,459"
이노션,214320,2015-07-17,신규상장,주권,광고업,대한민국,엔에이치투자증권주식회사,500,"68,000","340,068,000",광고대행 및 광고물의 제작 등,"20,000,000"
토니모리,214420,2015-07-10,신규상장,주권,기타 화학제품 제조업,대한민국,미래에셋증권 주식회사,200,"32,000","94,080,000","스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등","11,760,000"
미래에셋생명,085620,2015-07-08,신규상장,주권,보험업,대한민국,"삼성증권(주),다이와증권캐피탈마켓코리아(주),씨티그룹글로벌마켓증권(주)","5,000","7,500","340,499,820",생명보험상품,"145,180,000"
경보제약,214390,2015-06-29,신규상장,주권,기초 의약물질 제조업,대한민국,엔에이치투자증권주식회사,500,"15,000","143,441,250","아토르바스타틴, 세프티족심, 세프트리약손","23,906,860"
에스케이디앤디,210980,2015-06-23,신규상장,주권,부동산 임대 및 공급업,대한민국,"신한투자증권 주식회사,대신증권(주)","1,000","26,000","76,700,000","비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)","9,870,000"
엔에스쇼핑,138250,2015-03-27,신규상장,주권,무점포 소매업,대한민국,"한국투자증권(주),하나증권주식회사,미래에셋증권(주)","5,000","235,000","206,372,535",TV홈쇼핑,"3,369,600"
세화아이엠씨,145210,2015-03-19,신규상장,주권,특수 목적용 기계 제조업,대한민국,한국투자증권(주),500,"16,300","21,361,150","타이어 금형, 타이어 제조설비","11,335,440"
