회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차
샌즈랩,0.644338343,0.030016128999999996,0.055145761,0.035090911
샘씨엔에스,0.182525738,0.019433939,0.017919542,0.027208455
샘코,0.026313058,0.026330173000000002,0.017333638,0.024089105
샤페론,0.361159157,0.045765817,0.012887319,0.049517855
서남,0.277978609,0.034278083,0.044665165,0.044451243
서울바이오시스,0.23955173299999996,0.0626674,0.096806988,0.138800043
서진시스템,0.238775036,0.033488759,0.036013928,0.026283968
서플러스글로벌,0.158717888,0.039324611,0.016780256,0.031247288
석경에이티,0.683715802,0.050168247,0.060312727,0.026703502
선익시스템,0.086046633,0.033380189,0.023322135,0.060409122
선진뷰티사이언스,0.740673162,0.079072859,0.020558526,0.036677268
성우,0.064191783,0.163638208,0.064446358,0.03228653
성일하이텍,0.338947463,0.038001618,0.025313474999999995,0.08961472
세경하이테크,0.055827009999999996,0.050952251999999996,0.066249717,0.02635204
세미콘라이트,0.198380266,0.078317284,0.025942378,0.033964938
세아메카닉스,0.330720022,0.027751882999999998,0.034597355,0.024401701
세종메디칼,0.463331356,0.063341085,0.062555032,0.038903625
세진중공업,0.069413493,0.036319857,0.015596152999999998,0.021088931
세틀뱅크,0.074795769,0.05452768100000001,0.046882971,0.037094204
세화아이엠씨,0.030103106,0.041799821,0.004744154,0.014942991999999999
센서뷰,0.279549235,0.048827636,0.038155118,0.032998379
센코,0.145397895,0.149802413,0.075739666,0.083471864
센트랄모텍,0.273514597,0.095474358,0.096941699,0.05713784200000001
셀레믹스,0.187560915,0.057371744,0.029136883999999995,0.027969322
셀리드,0.260793842,0.035870698,0.030314386,0.093859006
셀리버리,0.096198753,0.021131067,0.059342329000000006,0.04734255
셀비온,0.246110498,0.10200423,0.048883862,0.04495144
셀트리온헬스케어,0.099864218,0.017510083,0.027601902,0.006650939999999999
소룩스,0.733839085,0.12016212,0.013728547000000002,0.02314865
솔루엠,0.335462616,0.06053789699999999,0.011963403,0.045900468
솔트룩스,0.19506047,0.02170675,0.068129157,0.047723233
수산아이앤티,0.201308241,0.057060126,0.032313109,0.044593688
수산인더스트리,0.040939871,0.031395621,0.034744064,0.041102883
슈프리마아이디,0.149596798,0.021265512,0.080742975,0.040546023
스마트레이더시스템,0.10217084699999998,0.201864851,0.064114289,0.027013329999999995
스코넥,0.39629208,0.10554517,0.056332033999999996,0.029274357
스톤브릿지벤처스,0.151597962,0.101501739,0.013833582,0.037298365
스톰테크,0.364030532,0.025630158000000004,0.039388602,0.019739934
스튜디오드래곤,0.483851876,0.021389717,0.033946178,0.047254979
스튜디오미르,0.72009184,0.034685155,0.06223229100000001,0.03657763
스튜디오삼익,0.576408533,0.028455878,0.04737436,0.054285402999999996
시스웍,0.183885908,0.006327321999999999,0.034540599,0.032870701
시지트로닉스,0.05900184700000001,0.065682364,0.158832091,0.020353304
시큐레터,0.44443835,0.150678177,0.025907624,0.150218384
시프트업,0.096942648,0.059796848,0.041312323,0.094263423
신도기연,0.193313282,0.073216344,0.014953828999999998,0.012816708
신라젠,0.07546584,0.071140249,0.027127329,0.021572946
신성에스티,0.26485015,0.038440669,0.093974959,0.042661435
신신제약,0.367516193,0.035179639,0.089020318,0.143706186
신테카바이오,0.201207537,0.059135336,0.068102606,0.049939844
신흥에스이씨,0.137869025,0.024406085,0.044067868,0.038147503
실리콘투,0.068174724,0.037135522,0.048584432,0.027205202
싸이맥스,0.059774267000000006,0.048930103,0.045387972,0.05196914500000001
싸이버원,0.566338174,0.078959781,0.04807543,0.018935496
싸이토젠,0.059195211000000005,0.026174071,0.03722616,0.040493172
쏘닉스,0.17325801,0.070080325,0.022636762,0.05293437399999999
쏘카,0.032736952,0.033122757,0.0390873,0.02369004
쓰리빌리언,0.148199754,0.12432596300000001,0.05872594799999999,0.140726248
쓰리에이로직스,0.064230179,,,
씨메스,0.082736528,0.030836067,0.030973666,0.056351371
씨앤씨인터내셔널,0.056444991,0.058986549,0.063036838,0.033930709
씨앤지하이테크,0.083818059,0.021655669,0.024043357,0.036712777
씨앤투스성진,0.056242128,0.040724108,0.033583225,0.025863004000000002
씨어스테크놀로지,0.0707477,0.044756787,0.022600509,0.038145354
씨에스베어링,0.068457563,0.036456851,0.014943994999999998,0.013359154000000002
씨엠에스에듀,0.053488709,0.021558223,0.005138871,0.02386577
씨유박스,0.158640458,0.030525842000000004,0.034416813,0.029097542999999997
씨유테크,0.186838179,0.03065637,0.015178833999999999,0.00947407
씨트리,0.4051943639999999,0.039241343,0.070208283,0.035818892
씨티케이코스메틱스,0.117885885,0.024008478,0.034891876,0.035198338
아모그린텍,0.092069794,0.039085931,0.013100267000000002,0.032593174
아모센스,0.169551402,0.022679109,0.021960009,0.060451237000000005
아셈스,0.318853862,0.086292219,0.17840854,0.024599228
아스타,0.280710584,0.025852988,0.034694337,0.12345730800000002
아스플로,0.083983778,0.047915624,0.024628987,0.012892128999999999
아시아경제,0.073173615,0.159367679,0.076170578,0.032426964
아시아나IDT,0.074117791,0.040874038,0.034510795,0.03594308
아우딘퓨쳐스,0.044620713,0.0740737,0.014479814000000002,0.037736256
아이디피,0.138963851,0.01936032,0.013999393000000002,0.012424975
아이빔테크놀로지,0.182438107,0.017574555,0.119465296,0.056018881
아이스크림미디어,0.122667734,0.041702614,0.009497526,0.02910335
아이스크림에듀,0.124707967,0.050634889,0.054234187,0.041321121
아이쓰리시스템,0.301545325,0.026721022,0.03676089,0.08304795
아이씨에이치,0.087533394,0.018824001,0.029325977999999996,0.014829127000000001
아이씨티케이,0.240524302,0.02547907,0.013896330000000002,0.039683586
아이언디바이스,0.283940633,0.059374725,0.035081505,0.037457816
아이엠비디엑스,0.840994918,0.175296326,0.077234332,0.059858642
아이엠텍,0.315714749,0.057415695,0.093583081,0.04848739
아이엠티,0.231426528,0.139833276,0.070010842,0.066505774
아이콘트롤스,0.026978288,0.019042899,0.033385221,0.010273996
아이퀘스트,0.363214293,0.013624537,0.030374529,0.036898469
아이큐어,0.036908427,0.10660946499999999,0.082479555,0.021561192
아이티아이즈,0.20720672499999998,0.153013029,0.056517767,0.039528698
아이티엠반도체,0.141403296,0.045157912,0.050628925000000005,0.018320262
아이패밀리에스씨,0.044890456,0.047151331,0.029589779,0.01622914
아주스틸,0.556741895,0.01875332,0.033681701,0.026634996
아진산업,0.025243554,0.027493945,0.021042148,0.048929061
아톤,0.045188417,0.027284703,0.039626973,0.047109903
안트로젠,0.303444929,0.022697797,0.150287368,0.027501364
알리코제약,0.449631212,0.065565105,0.043613301,0.019653549
알멕,0.424072362,0.03860373,0.047917199,0.087616505
알비더블유,0.37581656,0.07386598,0.037391536,0.00704961
알에스오토메이션,0.716054057,0.031612134,0.059346129000000004,0.026013938999999996
알체라,0.669048614,0.025850783,0.045130887,0.043274219
알피바이오,0.204328138,0.064879635,0.051618892000000006,0.037432539
압타머사이언스,0.081767812,0.023141564,0.029583391000000004,0.011960644
압타바이오,0.157437394,0.026571507,0.065262646,0.029817663
애경산업,0.090681459,0.057237156,0.039608863,0.026314768
애니젠,0.216781937,0.034083544,0.032495153,0.030863117000000002
액트로,0.045547195,0.021814743,0.041271576,0.016367743
앤디포스,0.039931404,0.039808944,0.069157704,0.043219463
앱코,0.087647778,0.042508858,0.029603091000000005,0.03797798
앱클론,0.718398742,0.056967210000000004,0.148675267,0.050311013
야스,0.0970811,0.055598939,0.042964113,0.020851067
에스디바이오센서,0.090133595,0.029536300000000005,0.023507084,0.041618469
에스디생명공학,0.034830059,0.041626878,0.038290834,0.012155164
에스바이오메딕스,0.037175368,0.028198316,0.016488632,0.048182497
에스비비테크,0.680395821,0.047430085,0.020299828,0.030463306000000002
에스씨엠생명과학,0.520891177,0.031703833,0.04403527,0.050929725999999995
에스에스알,0.714269727,0.047190709,0.030907491,0.025818461999999997
에스엔텍,0.491821326,0.05148220099999999,0.035100256,0.029448548
에스엔피월드,0.04335357,0.041132384,0.039491455,0.026337673
에스오에스랩,0.15000594,0.084342439,0.046511235,0.039195063
에스와이스틸텍,0.558524621,0.046352476,0.036242337,0.088610976
에스와이패널,0.136632456,0.074883576,0.101740036,0.050847714
에스제이그룹,0.099725739,0.050136145,0.041252236,0.05191654799999999
에스케이디앤디,0.72226974,0.047100053,0.04629905,0.041335735
에스케이바이오팜,0.660142088,0.024717848,0.027060081000000003,0.014191970000000002
에스켐,0.133347692,0.03983388,0.03018869,0.033639515
에스트래픽,0.239412802,0.034407267,0.030240453,0.014548539
에스티팜,0.319013421,0.036211835,0.039853946,0.01619114
에스퓨얼셀,0.492602708,0.037059641,0.069793173,0.038562832
에스피시스템스,0.760569736,0.07461329,0.072863825,0.083038774
에어레인,0.065422756,0.047936541,0.119866438,0.053751073999999996
에어부산,0.20741602600000003,0.023288345,0.032685425,0.01848851
에이디엠코리아,0.744374655,0.037887927,0.020226913,0.037502493
에이럭스,0.162718478,0.042983287,0.07994662,0.12606417
에이비엘바이오,0.159945094,0.090529509,0.022007385,0.05096544900000001
에이스토리,0.125623803,0.046609784,0.082870079,0.056692213000000005
에이에스텍,0.735675596,0.043219012,0.037337421,0.047848793
에이에프더블류,0.033766729,0.058642067,0.037007391,0.029252128
에이엘티,0.058883359,0.028406741999999995,0.042394894,0.041252818
에이직랜드,0.157733215,0.0588172,0.112042438,0.09040943
에이치브이엠,0.099201084,0.037475766,0.023014713,0.04733316
에이치시티,0.149860392,0.067956258,0.042657614,0.11195775100000001
에이치엔티,0.053748237,0.037836319,0.036522007,0.046217616
에이치엘사이언스,0.24020685300000003,0.179451428,0.104130433,0.028956295
에이치와이티씨,0.107119153,0.027864314,0.045308553,0.015106058
