函券,盔磊丰,老喊 荐劳伏,扁埃备埃,荐劳伏_钎霖祈瞒
2018-06-22,2357.22,0.008294016245834701,11~15老,0.011335555568589338
2018-06-25,2357.88,0.000279990836663746,11~15老,0.011335555568589338
2018-06-26,2350.92,-0.002951804163061733,16~20老,0.006949921479122554
2018-06-27,2342.03,-0.003781498307045661,16~20老,0.006949921479122554
2018-06-28,2314.24,-0.011865774563092901,16~20老,0.006949921479122554
2018-06-29,2326.13,0.005137755807522293,16~20老,0.006949921479122554
2018-07-02,2271.54,-0.023468163860145497,1~5老,0.011348916141403566
2018-07-03,2272.76,0.0005370805708904136,1~5老,0.011348916141403566
2018-07-04,2265.46,-0.003211953747866092,1~5老,0.011348916141403566
2018-07-05,2257.55,-0.003491564627051358,1~5老,0.011348916141403566
2018-07-06,2272.87,0.006786117693960092,1~5老,0.011348916141403566
2018-07-09,2285.8,0.005688842740676048,6~10老,0.006254298069181818
2018-07-10,2294.16,0.0036573628488929533,6~10老,0.006254298069181818
2018-07-11,2280.62,-0.005901942323116027,6~10老,0.006254298069181818
2018-07-12,2285.06,0.001946839017460178,6~10老,0.006254298069181818
2018-07-13,2310.9,0.01130823698283634,6~10老,0.006254298069181818
2018-07-16,2301.99,-0.003855640659483406,11~15老,0.0028556777547096924
2018-07-17,2297.92,-0.0017680354823433886,11~15老,0.0028556777547096924
2018-07-18,2290.11,-0.003398725804205527,11~15老,0.0028556777547096924
2018-07-19,2282.29,-0.00341468313749127,11~15老,0.0028556777547096924
2018-07-20,2289.19,0.003023279250226718,11~15老,0.0028556777547096924
2018-07-23,2269.31,-0.008684294444759932,16~20老,0.00639166024332137
2018-07-24,2280.2,0.004798815498984199,16~20老,0.00639166024332137
2018-07-25,2273.03,-0.0031444610121917904,16~20老,0.00639166024332137
2018-07-26,2289.06,0.007052260638882757,16~20老,0.00639166024332137
2018-07-27,2294.99,0.002590583034083771,16~20老,0.00639166024332137
2018-08-01,2307.07,0.0051453865792980835,1~5老,0.009695902824569993
2018-08-02,2270.2,-0.015981309626496132,1~5老,0.009695902824569993
2018-08-03,2287.68,0.007699762135494614,1~5老,0.009695902824569993
2018-08-06,2286.5,-0.0005158064064902934,1~5老,0.009695902824569993
2018-08-07,2300.16,0.005974196369997742,1~5老,0.009695902824569993
2018-08-08,2301.45,0.0005608305509181566,6~10老,0.008175982188673592
2018-08-09,2303.71,0.000981989615242762,6~10老,0.008175982188673592
2018-08-10,2282.79,-0.009081004119442126,6~10老,0.008175982188673592
2018-08-13,2248.45,-0.015042995632537415,6~10老,0.008175982188673592
2018-08-14,2258.91,0.004652093664524459,6~10老,0.008175982188673592
2018-08-16,2240.8,-0.008017141010487228,11~15老,0.006389578117105466
2018-08-17,2247.05,0.002789182434844717,11~15老,0.006389578117105466
2018-08-20,2247.88,0.0003693731781668763,11~15老,0.006389578117105466
2018-08-21,2270.06,0.009867074754880134,11~15老,0.006389578117105466
2018-08-22,2273.33,0.0014404905597209527,11~15老,0.006389578117105466
2018-08-23,2282.6,0.004077718589030166,16~20老,0.0012147678476729213
2018-08-24,2293.21,0.004648208183650304,16~20老,0.0012147678476729213
2018-08-27,2299.3,0.0026556660750651773,16~20老,0.0012147678476729213
2018-08-28,2303.12,0.0016613752011480631,16~20老,0.0012147678476729213
2018-08-29,2309.03,0.0025660842682970753,16~20老,0.0012147678476729213
2018-09-03,2307.03,-0.00682342609174813,1~5老,0.005343904843285759
2018-09-04,2315.72,0.0037667477232630198,1~5老,0.005343904843285759
2018-09-05,2291.77,-0.010342355725217134,1~5老,0.005343904843285759
2018-09-06,2287.61,-0.0018151908786657733,1~5老,0.005343904843285759
2018-09-07,2281.58,-0.0026359388182427557,1~5老,0.005343904843285759
2018-09-10,2288.66,0.0031031127551959248,6~10老,0.006365378781173671
2018-09-11,2283.2,-0.0023856754607499697,6~10老,0.006365378781173671
2018-09-12,2282.92,-0.000122634898388152,6~10老,0.006365378781173671
2018-09-13,2286.23,0.0014498974996932645,6~10老,0.006365378781173671
2018-09-14,2318.25,0.014005589988758782,6~10老,0.006365378781173671
2018-09-17,2303.01,-0.00657392429634418,11~15老,0.005512245030491773
2018-09-18,2308.98,0.0025922596949208287,11~15老,0.005512245030491773
