,날짜,원자료(-1~-5),원자료(-6~-10),원자료(-11~-15),원자료(-16~-20)
175,2015-09-14,0.01602522977939379,0.008585501950886872,0.018902903904289493,0.005622288209875153
176,2015-09-15,0.016515511672369927,0.007963144257733005,0.009089031371179654,0.007750885557068931
177,2015-09-16,0.016057092286577184,0.006633192628655134,0.014920482943002331,0.013087476335232816
178,2015-09-17,0.012710406868152222,0.0165586739064233,0.01085487969530941,0.021319982522790583
179,2015-09-18,0.011390905436529434,0.01735514956269458,0.010484206772959128,0.021270087510194272
180,2015-09-21,0.00947464022826674,0.01602522977939379,0.008585501950886872,0.018902903904289493
181,2015-09-22,0.012984307689104847,0.016515511672369927,0.007963144257733005,0.009089031371179654
182,2015-09-23,0.013196092339793306,0.016057092286577184,0.006633192628655134,0.014920482943002331
183,2015-09-24,0.013512587244830109,0.012710406868152222,0.0165586739064233,0.01085487969530941
184,2015-09-25,0.013565601539286608,0.011390905436529434,0.01735514956269458,0.010484206772959128
185,2015-09-30,0.011670447240060562,0.00947464022826674,0.01602522977939379,0.008585501950886872
186,2015-10-01,0.011688717723038353,0.012984307689104847,0.016515511672369927,0.007963144257733005
187,2015-10-02,0.011606517742121972,0.013196092339793306,0.016057092286577184,0.006633192628655134
188,2015-10-05,0.0065786964501366495,0.013512587244830109,0.012710406868152222,0.0165586739064233
189,2015-10-06,0.006569309714383754,0.013565601539286608,0.011390905436529434,0.01735514956269458
190,2015-10-07,0.00589146832627683,0.011670447240060562,0.00947464022826674,0.01602522977939379
191,2015-10-08,0.00538404887869117,0.011688717723038353,0.012984307689104847,0.016515511672369927
192,2015-10-12,0.005126048161214872,0.011606517742121972,0.013196092339793306,0.016057092286577184
193,2015-10-13,0.0026322578512235173,0.0065786964501366495,0.013512587244830109,0.012710406868152222
194,2015-10-14,0.003964234693248143,0.006569309714383754,0.013565601539286608,0.011390905436529434
195,2015-10-15,0.005280943145329672,0.00589146832627683,0.011670447240060562,0.00947464022826674
196,2015-10-16,0.006581952960566516,0.00538404887869117,0.011688717723038353,0.012984307689104847
197,2015-10-19,0.006335879516909593,0.005126048161214872,0.011606517742121972,0.013196092339793306
198,2015-10-20,0.006354248067505869,0.0026322578512235173,0.0065786964501366495,0.013512587244830109
199,2015-10-21,0.006389421149350087,0.003964234693248143,0.006569309714383754,0.013565601539286608
200,2015-10-22,0.005237636805328112,0.005280943145329672,0.00589146832627683,0.011670447240060562
201,2015-10-23,0.0053857959691181664,0.006581952960566516,0.00538404887869117,0.011688717723038353
202,2015-10-26,0.006849491651887311,0.006335879516909593,0.005126048161214872,0.011606517742121972
203,2015-10-27,0.00691678026352812,0.006354248067505869,0.0026322578512235173,0.0065786964501366495
204,2015-10-28,0.006861203226584801,0.006389421149350087,0.003964234693248143,0.006569309714383754
205,2015-10-29,0.0068499589326174995,0.005237636805328112,0.005280943145329672,0.00589146832627683
206,2015-10-30,0.00506423964736376,0.0053857959691181664,0.006581952960566516,0.00538404887869117
207,2015-11-02,0.002931263756117074,0.006849491651887311,0.006335879516909593,0.005126048161214872
208,2015-11-03,0.0025565784976532726,0.00691678026352812,0.006354248067505869,0.0026322578512235173
209,2015-11-04,0.004252021424038781,0.006861203226584801,0.006389421149350087,0.003964234693248143
210,2015-11-05,0.004224185025036941,0.0068499589326174995,0.005237636805328112,0.005280943145329672
211,2015-11-06,0.0035773336543335373,0.00506423964736376,0.0053857959691181664,0.006581952960566516
212,2015-11-09,0.004095830207704817,0.002931263756117074,0.006849491651887311,0.006335879516909593
213,2015-11-10,0.0054315435216720715,0.0025565784976532726,0.00691678026352812,0.006354248067505869
214,2015-11-11,0.00626943181729465,0.004252021424038781,0.006861203226584801,0.006389421149350087
215,2015-11-12,0.005785271129888366,0.004224185025036941,0.0068499589326174995,0.005237636805328112
216,2015-11-13,0.005733905932025844,0.0035773336543335373,0.00506423964736376,0.0053857959691181664
217,2015-11-16,0.005977622878832391,0.004095830207704817,0.002931263756117074,0.006849491651887311
218,2015-11-17,0.007148752356623443,0.0054315435216720715,0.0025565784976532726,0.00691678026352812
219,2015-11-18,0.00998148371572244,0.00626943181729465,0.004252021424038781,0.006861203226584801
220,2015-11-19,0.00992281383502464,0.005785271129888366,0.004224185025036941,0.0068499589326174995
221,2015-11-20,0.012488971847537906,0.005733905932025844,0.0035773336543335373,0.00506423964736376
222,2015-11-23,0.011276272396487102,0.005977622878832391,0.004095830207704817,0.002931263756117074
223,2015-11-24,0.006028240867692417,0.007148752356623443,0.0054315435216720715,0.0025565784976532726
224,2015-11-25,0.005530246532277302,0.00998148371572244,0.00626943181729465,0.004252021424038781
225,2015-11-26,0.006411725869181568,0.00992281383502464,0.005785271129888366,0.004224185025036941
226,2015-11-27,0.005575888556291868,0.012488971847537906,0.005733905932025844,0.0035773336543335373
227,2015-11-30,0.005818685383189424,0.011276272396487102,0.005977622878832391,0.004095830207704817
228,2015-12-01,0.011071381165104015,0.006028240867692417,0.007148752356623443,0.0054315435216720715
229,2015-12-02,0.013333580191246815,0.005530246532277302,0.00998148371572244,0.00626943181729465
230,2015-12-03,0.013740983421813732,0.006411725869181568,0.00992281383502464,0.005785271129888366
231,2015-12-04,0.012619938496934774,0.005575888556291868,0.012488971847537906,0.005733905932025844
232,2015-12-07,0.012775840701302487,0.005818685383189424,0.011276272396487102,0.005977622878832391
233,2015-12-08,0.010658449483703886,0.011071381165104015,0.006028240867692417,0.007148752356623443
234,2015-12-09,0.0015759244350487043,0.013333580191246815,0.005530246532277302,0.00998148371572244
235,2015-12-10,0.003569689882426343,0.013740983421813732,0.006411725869181568,0.00992281383502464
236,2015-12-11,0.0049128321921052985,0.012619938496934774,0.005575888556291868,0.012488971847537906
237,2015-12-14,0.0038043804914351517,0.012775840701302487,0.005818685383189424,0.011276272396487102
238,2015-12-15,0.005228713642662433,0.010658449483703886,0.011071381165104015,0.006028240867692417
239,2015-12-16,0.005355737746891679,0.0015759244350487043,0.013333580191246815,0.005530246532277302
240,2015-12-17,0.01071065994753137,0.003569689882426343,0.013740983421813732,0.006411725869181568
241,2015-12-18,0.010750020823918967,0.0049128321921052985,0.012619938496934774,0.005575888556291868
242,2015-12-21,0.010706882106810822,0.0038043804914351517,0.012775840701302487,0.005818685383189424
243,2015-12-22,0.007755161259823663,0.005228713642662433,0.010658449483703886,0.011071381165104015
244,2015-12-23,0.0075951044222220005,0.005355737746891679,0.0015759244350487043,0.013333580191246815
245,2015-12-24,0.0026562177101844943,0.01071065994753137,0.003569689882426343,0.013740983421813732
246,2015-12-28,0.004025610985849694,0.010750020823918967,0.0049128321921052985,0.012619938496934774
247,2015-12-29,0.007801978945560486,0.010706882106810822,0.0038043804914351517,0.012775840701302487
248,2015-12-30,0.007602865329753905,0.007755161259823663,0.005228713642662433,0.010658449483703886
249,2016-01-04,0.006450888791135665,0.0075951044222220005,0.005355737746891679,0.0015759244350487043
250,2016-01-05,0.009264845495797095,0.0026562177101844943,0.01071065994753137,0.003569689882426343
251,2016-01-06,0.011299167181857283,0.004025610985849694,0.010750020823918967,0.0049128321921052985
252,2016-01-07,0.010561916918669237,0.007801978945560486,0.010706882106810822,0.0038043804914351517
253,2016-01-08,0.010497595490838424,0.007602865329753905,0.007755161259823663,0.005228713642662433
254,2016-01-11,0.012100129542464366,0.006450888791135665,0.0075951044222220005,0.005355737746891679
255,2016-01-12,0.008999067887398798,0.009264845495797095,0.0026562177101844943,0.01071065994753137
256,2016-01-13,0.007687995312461373,0.011299167181857283,0.004025610985849694,0.010750020823918967
257,2016-01-14,0.011078998918793782,0.010561916918669237,0.007801978945560486,0.010706882106810822
258,2016-01-15,0.010561879781944969,0.010497595490838424,0.007602865329753905,0.007755161259823663
259,2016-01-18,0.01049897957445545,0.012100129542464366,0.006450888791135665,0.0075951044222220005
260,2016-01-19,0.009573837216634788,0.008999067887398798,0.009264845495797095,0.0026562177101844943
261,2016-01-20,0.010150235852567668,0.007687995312461373,0.011299167181857283,0.004025610985849694
262,2016-01-21,0.011185983152534622,0.011078998918793782,0.010561916918669237,0.007801978945560486
263,2016-01-22,0.011353055592372485,0.010561879781944969,0.010497595490838424,0.007602865329753905
264,2016-01-25,0.016094136804945702,0.01049897957445545,0.012100129542464366,0.006450888791135665
265,2016-01-26,0.016410678712661084,0.009573837216634788,0.008999067887398798,0.009264845495797095
266,2016-01-27,0.017117140913543778,0.010150235852567668,0.007687995312461373,0.011299167181857283
267,2016-01-28,0.012992200199008331,0.011185983152534622,0.011078998918793782,0.010561916918669237
268,2016-01-29,0.012198238510638724,0.011353055592372485,0.010561879781944969,0.010497595490838424
269,2016-02-01,0.009385272591893111,0.016094136804945702,0.01049897957445545,0.012100129542464366
270,2016-02-02,0.009309448408743926,0.016410678712661084,0.009573837216634788,0.008999067887398798
271,2016-02-03,0.008626522226374892,0.017117140913543778,0.010150235852567668,0.007687995312461373
272,2016-02-04,0.007616670478475641,0.012992200199008331,0.011185983152534622,0.011078998918793782
273,2016-02-05,0.009873897710450212,0.012198238510638724,0.011353055592372485,0.010561879781944969
274,2016-02-11,0.009830057194048605,0.009385272591893111,0.016094136804945702,0.01049897957445545
275,2016-02-12,0.015723378612868745,0.009309448408743926,0.016410678712661084,0.009573837216634788
276,2016-02-15,0.016061313577368515,0.008626522226374892,0.017117140913543778,0.010150235852567668
277,2016-02-16,0.018818781622373774,0.007616670478475641,0.012992200199008331,0.011185983152534622
