날짜,코스피수익률표준편차(1~5),코스피수익률표준편차(6~10),코스피수익률표준편차(11~15),코스피수익률표준편차(16~20)
2019-09-18,,,0.0020893992160885603,
2019-09-19,,,0.0020893992160885603,
2019-09-20,,,0.0020893992160885603,
2019-09-23,,,0.0020893992160885603,
2019-09-24,,,0.0020893992160885603,
2019-09-25,,,,0.009545251782675032
2019-09-26,,,,0.009545251782675032
2019-09-27,,,,0.009545251782675032
2019-09-30,,,,0.009545251782675032
2019-10-01,0.011917827649216502,,,
2019-10-02,0.011917827649216502,,,
2019-10-04,0.011917827649216502,,,
2019-10-07,0.011917827649216502,,,
2019-10-08,0.011917827649216502,,,
2019-10-10,,0.007981419117498173,,
2019-10-11,,0.007981419117498173,,
2019-10-14,,0.007981419117498173,,
2019-10-15,,0.007981419117498173,,
2019-10-16,,0.007981419117498173,,
2019-10-17,,,0.0075694696829183596,
2019-10-18,,,0.0075694696829183596,
2019-10-21,,,0.0075694696829183596,
2019-10-22,,,0.0075694696829183596,
2019-10-23,,,0.0075694696829183596,
2019-10-24,,,,0.003531948221524671
2019-10-25,,,,0.003531948221524671
2019-10-28,,,,0.003531948221524671
2019-10-29,,,,0.003531948221524671
2019-10-30,,,,0.003531948221524671
2019-10-31,,,,
2019-11-01,0.005833229681358161,,,
2019-11-04,0.005833229681358161,,,
2019-11-05,0.005833229681358161,,,
2019-11-06,0.005833229681358161,,,
2019-11-07,0.005833229681358161,,,
2019-11-08,,0.007863677114269028,,
2019-11-11,,0.007863677114269028,,
2019-11-12,,0.007863677114269028,,
2019-11-13,,0.007863677114269028,,
2019-11-14,,0.007863677114269028,,
2019-11-15,,,0.009988533376914787,
2019-11-18,,,0.009988533376914787,
2019-11-19,,,0.009988533376914787,
2019-11-20,,,0.009988533376914787,
2019-11-21,,,0.009988533376914787,
2019-11-22,,,,0.005449166465601269
2019-11-25,,,,0.005449166465601269
2019-11-26,,,,0.005449166465601269
2019-11-27,,,,0.005449166465601269
2019-11-28,,,,0.005449166465601269
2019-11-29,,,,
2019-12-02,0.006884411835988223,,,
2019-12-03,0.006884411835988223,,,
2019-12-04,0.006884411835988223,,,
2019-12-05,0.006884411835988223,,,
2019-12-06,0.006884411835988223,,,
2019-12-09,,0.006282014338188941,,
2019-12-10,,0.006282014338188941,,
2019-12-11,,0.006282014338188941,,
2019-12-12,,0.006282014338188941,,
2019-12-13,,0.006282014338188941,,
2019-12-16,,,0.005620770770076594,
2019-12-17,,,0.005620770770076594,
2019-12-18,,,0.005620770770076594,
2019-12-19,,,0.005620770770076594,
2019-12-20,,,0.005620770770076594,
2019-12-23,,,,0.00407446458670577
2019-12-24,,,,0.00407446458670577
2019-12-26,,,,0.00407446458670577
2019-12-27,,,,0.00407446458670577
2019-12-30,,,,0.00407446458670577
2020-01-02,0.009039925483850677,,,
2020-01-03,0.009039925483850677,,,
2020-01-06,0.009039925483850677,,,
2020-01-07,0.009039925483850677,,,
2020-01-08,0.009039925483850677,,,
2020-01-09,,0.007424434381679676,,
2020-01-10,,0.007424434381679676,,
2020-01-13,,0.007424434381679676,,
2020-01-14,,0.007424434381679676,,
2020-01-15,,0.007424434381679676,,
2020-01-16,,,0.008510878815049663,
2020-01-17,,,0.008510878815049663,
2020-01-20,,,0.008510878815049663,
2020-01-21,,,0.008510878815049663,
2020-01-22,,,0.008510878815049663,
2020-01-23,,,,0.012617644254029248
2020-01-28,,,,0.012617644254029248
2020-01-29,,,,0.012617644254029248
2020-01-30,,,,0.012617644254029248
2020-01-31,,,,0.012617644254029248
2020-02-03,0.014597228998703955,,,
2020-02-04,0.014597228998703955,,,
2020-02-05,0.014597228998703955,,,
2020-02-06,0.014597228998703955,,,
2020-02-07,0.014597228998703955,,,
2020-02-10,,0.006310358133811051,,
2020-02-11,,0.006310358133811051,,
2020-02-12,,0.006310358133811051,,
2020-02-13,,0.006310358133811051,,
2020-02-14,,0.006310358133811051,,
2020-02-17,,,0.007458610657285841,
2020-02-18,,,0.007458610657285841,
2020-02-19,,,0.007458610657285841,
2020-02-20,,,0.007458610657285841,
2020-02-21,,,0.007458610657285841,
2020-02-24,,,,0.020121944065917108
2020-02-25,,,,0.020121944065917108
2020-02-26,,,,0.020121944065917108
2020-02-27,,,,0.020121944065917108
2020-02-28,,,,0.020121944065917108
2020-03-02,0.016406354160831874,,,
2020-03-03,0.016406354160831874,,,
2020-03-04,0.016406354160831874,,,
2020-03-05,0.016406354160831874,,,
2020-03-06,0.016406354160831874,,,
2020-03-09,,0.018591321876678776,,
2020-03-10,,0.018591321876678776,,
2020-03-11,,0.018591321876678776,,
2020-03-12,,0.018591321876678776,,
2020-03-13,,0.018591321876678776,,
2020-03-16,,,0.05904514082842934,
2020-03-17,,,0.05904514082842934,
2020-03-18,,,0.05904514082842934,
2020-03-19,,,0.05904514082842934,
2020-03-20,,,0.05904514082842934,
2020-03-23,,,,0.0552635248604363
2020-03-24,,,,0.0552635248604363
2020-03-25,,,,0.0552635248604363
2020-03-26,,,,0.0552635248604363
2020-03-27,,,,0.0552635248604363
2020-03-30,,,,
2020-03-31,,,,
2020-04-01,0.029871314469031077,,,
2020-04-02,0.029871314469031077,,,
2020-04-03,0.029871314469031077,,,
2020-04-06,0.029871314469031077,,,
2020-04-07,0.029871314469031077,,,
2020-04-08,,0.016541702655920608,,
2020-04-09,,0.016541702655920608,,
2020-04-10,,0.016541702655920608,,
2020-04-13,,0.016541702655920608,,
2020-04-14,,0.016541702655920608,,
2020-04-16,,,0.016707464005104283,
2020-04-17,,,0.016707464005104283,
2020-04-20,,,0.016707464005104283,
2020-04-21,,,0.016707464005104283,
2020-04-22,,,0.016707464005104283,
2020-04-23,,,,0.011535266096456302
2020-04-24,,,,0.011535266096456302
2020-04-27,,,,0.011535266096456302
2020-04-28,,,,0.011535266096456302
2020-04-29,,,,0.011535266096456302
2020-05-04,0.01680992545232785,,,
2020-05-06,0.01680992545232785,,,
2020-05-07,0.01680992545232785,,,
2020-05-08,0.01680992545232785,,,
2020-05-11,0.01680992545232785,,,
2020-05-12,,0.007543543648183472,,
2020-05-13,,0.007543543648183472,,
2020-05-14,,0.007543543648183472,,
2020-05-15,,0.007543543648183472,,
2020-05-18,,0.007543543648183472,,
2020-05-19,,,0.01342449817252344,
2020-05-20,,,0.01342449817252344,
2020-05-21,,,0.01342449817252344,
2020-05-22,,,0.01342449817252344,
2020-05-25,,,0.01342449817252344,
2020-05-26,,,,0.008879957899235609
2020-05-27,,,,0.008879957899235609
2020-05-28,,,,0.008879957899235609
2020-05-29,,,,0.008879957899235609
2020-06-01,0.009762630628165092,,,
2020-06-02,0.009762630628165092,,,
2020-06-03,0.009762630628165092,,,
2020-06-04,0.009762630628165092,,,
2020-06-05,0.009762630628165092,,,
2020-06-08,,0.010046427131291905,,
2020-06-09,,0.010046427131291905,,
2020-06-10,,0.010046427131291905,,
2020-06-11,,0.010046427131291905,,
2020-06-12,,0.010046427131291905,,
2020-06-15,,,0.035608342969718564,
2020-06-16,,,0.035608342969718564,
2020-06-17,,,0.035608342969718564,
2020-06-18,,,0.035608342969718564,
2020-06-19,,,0.035608342969718564,
2020-06-22,,,,0.014826505366242594
2020-06-23,,,,0.014826505366242594
2020-06-24,,,,0.014826505366242594
2020-06-25,,,,0.014826505366242594
2020-06-26,,,,0.014826505366242594
2020-06-29,,,,
2020-06-30,,,,
2020-07-01,0.011177316332387966,,,
2020-07-02,0.011177316332387966,,,
2020-07-03,0.011177316332387966,,,
2020-07-06,0.011177316332387966,,,
2020-07-07,0.011177316332387966,,,
2020-07-08,,0.009376418879453403,,
2020-07-09,,0.009376418879453403,,
2020-07-10,,0.009376418879453403,,
2020-07-13,,0.009376418879453403,,
2020-07-14,,0.009376418879453403,,
2020-07-15,,,0.008828674363590876,
2020-07-16,,,0.008828674363590876,
2020-07-17,,,0.008828674363590876,
2020-07-20,,,0.008828674363590876,
2020-07-21,,,0.008828674363590876,
2020-07-22,,,,0.010284691873271185
2020-07-23,,,,0.010284691873271185
2020-07-24,,,,0.010284691873271185
2020-07-27,,,,0.010284691873271185
2020-07-28,,,,0.010284691873271185
2020-07-29,,,,
2020-07-30,,,,
2020-07-31,,,,
2020-08-03,0.006179061056025275,,,
2020-08-04,0.006179061056025275,,,
2020-08-05,0.006179061056025275,,,
2020-08-06,0.006179061056025275,,,
2020-08-07,0.006179061056025275,,,
2020-08-10,,0.010914517025575363,,
2020-08-11,,0.010914517025575363,,
2020-08-12,,0.010914517025575363,,
2020-08-13,,0.010914517025575363,,
2020-08-14,,0.010914517025575363,,
2020-08-18,,,0.02274017848083665,
2020-08-19,,,0.02274017848083665,
2020-08-20,,,0.02274017848083665,
2020-08-21,,,0.02274017848083665,
2020-08-24,,,0.02274017848083665,
2020-08-25,,,,0.011353121252680643
2020-08-26,,,,0.011353121252680643
2020-08-27,,,,0.011353121252680643
2020-08-28,,,,0.011353121252680643
2020-08-31,,,,0.011353121252680643
2020-09-01,0.009668698913075187,,,
2020-09-02,0.009668698913075187,,,
2020-09-03,0.009668698913075187,,,
2020-09-04,0.009668698913075187,,,
2020-09-07,0.009668698913075187,,,
2020-09-08,,0.009368052559135424,,
2020-09-09,,0.009368052559135424,,
2020-09-10,,0.009368052559135424,,
2020-09-11,,0.009368052559135424,,
2020-09-14,,0.009368052559135424,,
2020-09-15,,,0.007875971905100608,
2020-09-16,,,0.007875971905100608,
2020-09-17,,,0.007875971905100608,
2020-09-18,,,0.007875971905100608,
2020-09-21,,,0.007875971905100608,
2020-09-22,,,,0.017181825359713732
2020-09-23,,,,0.017181825359713732
2020-09-24,,,,0.017181825359713732
2020-09-25,,,,0.017181825359713732
2020-09-28,,,,0.017181825359713732
2020-09-29,,,,
2020-10-05,0.004440118742523946,,,
2020-10-06,0.004440118742523946,,,
2020-10-07,0.004440118742523946,,,
2020-10-08,0.004440118742523946,,,
2020-10-12,0.004440118742523946,,,
2020-10-13,,0.005360742204029256,,
2020-10-14,,0.005360742204029256,,
2020-10-15,,0.005360742204029256,,
2020-10-16,,0.005360742204029256,,
2020-10-19,,0.005360742204029256,,
2020-10-20,,,0.006205586782891471,
2020-10-21,,,0.006205586782891471,
2020-10-22,,,0.006205586782891471,
2020-10-23,,,0.006205586782891471,
2020-10-26,,,0.006205586782891471,
2020-10-27,,,,0.013115542743552665
2020-10-28,,,,0.013115542743552665
2020-10-29,,,,0.013115542743552665
2020-10-30,,,,0.013115542743552665
2020-11-02,0.00929936489049138,,,
2020-11-03,0.00929936489049138,,,
2020-11-04,0.00929936489049138,,,
2020-11-05,0.00929936489049138,,,
2020-11-06,0.00929936489049138,,,
2020-11-09,,0.007385899003098389,,
2020-11-10,,0.007385899003098389,,
2020-11-11,,0.007385899003098389,,
2020-11-12,,0.007385899003098389,,
2020-11-13,,0.007385899003098389,,
2020-11-16,,,0.008515612540385884,
2020-11-17,,,0.008515612540385884,
2020-11-18,,,0.008515612540385884,
2020-11-19,,,0.008515612540385884,
2020-11-20,,,0.008515612540385884,
2020-11-23,,,,0.009281070799723297
2020-11-24,,,,0.009281070799723297
2020-11-25,,,,0.009281070799723297
2020-11-26,,,,0.009281070799723297
2020-11-27,,,,0.009281070799723297
2020-11-30,,,,
2020-12-01,0.005061788538020764,,,
2020-12-02,0.005061788538020764,,,
2020-12-03,0.005061788538020764,,,
2020-12-04,0.005061788538020764,,,
2020-12-07,0.005061788538020764,,,
2020-12-08,,0.013736969766713356,,
2020-12-09,,0.013736969766713356,,
2020-12-10,,0.013736969766713356,,
2020-12-11,,0.013736969766713356,,
2020-12-14,,0.013736969766713356,,
2020-12-15,,,0.0028402987408680884,
2020-12-16,,,0.0028402987408680884,
2020-12-17,,,0.0028402987408680884,
2020-12-18,,,0.0028402987408680884,
2020-12-21,,,0.0028402987408680884,
2020-12-22,,,,0.012404950038772535
2020-12-23,,,,0.012404950038772535
2020-12-24,,,,0.012404950038772535
2020-12-28,,,,0.012404950038772535
2020-12-29,,,,0.012404950038772535
2020-12-30,,,,
2021-01-04,0.017179855137889968,,,
2021-01-05,0.017179855137889968,,,
2021-01-06,0.017179855137889968,,,
2021-01-07,0.017179855137889968,,,
2021-01-08,0.017179855137889968,,,
2021-01-11,,0.01035505590163361,,
2021-01-12,,0.01035505590163361,,
2021-01-13,,0.01035505590163361,,
2021-01-14,,0.01035505590163361,,
2021-01-15,,0.01035505590163361,,
2021-01-18,,,0.019175777043985865,
2021-01-19,,,0.019175777043985865,
2021-01-20,,,0.019175777043985865,
2021-01-21,,,0.019175777043985865,
2021-01-22,,,0.019175777043985865,
2021-01-25,,,,0.02010966559115735
2021-01-26,,,,0.02010966559115735
2021-01-27,,,,0.02010966559115735
2021-01-28,,,,0.02010966559115735
2021-01-29,,,,0.02010966559115735
2021-02-01,0.0145707200296728,,,
2021-02-02,0.0145707200296728,,,
2021-02-03,0.0145707200296728,,,
2021-02-04,0.0145707200296728,,,
2021-02-05,0.0145707200296728,,,
2021-02-08,,0.009121596561252191,,
2021-02-09,,0.009121596561252191,,
2021-02-10,,0.009121596561252191,,
2021-02-15,,0.009121596561252191,,
2021-02-16,,0.009121596561252191,,
2021-02-17,,,0.0082622081878322,
2021-02-18,,,0.0082622081878322,
2021-02-19,,,0.0082622081878322,
2021-02-22,,,0.0082622081878322,
2021-02-23,,,0.0082622081878322,
2021-02-24,,,,0.03536958572403275
2021-02-25,,,,0.03536958572403275
2021-02-26,,,,0.03536958572403275
2021-03-02,0.01183519909212183,,,
2021-03-03,0.01183519909212183,,,
2021-03-04,0.01183519909212183,,,
2021-03-05,0.01183519909212183,,,
2021-03-08,0.01183519909212183,,,
2021-03-09,,0.01192184687147492,,
2021-03-10,,0.01192184687147492,,
2021-03-11,,0.01192184687147492,,
2021-03-12,,0.01192184687147492,,
2021-03-15,,0.01192184687147492,,
2021-03-16,,,0.0071047869369438655,
2021-03-17,,,0.0071047869369438655,
2021-03-18,,,0.0071047869369438655,
2021-03-19,,,0.0071047869369438655,
2021-03-22,,,0.0071047869369438655,
2021-03-23,,,,0.007855953419076498
2021-03-24,,,,0.007855953419076498
2021-03-25,,,,0.007855953419076498
2021-03-26,,,,0.007855953419076498
2021-03-29,,,,0.007855953419076498
2021-03-30,,,,
2021-03-31,,,,
2021-04-01,0.003172368650512794,,,
2021-04-02,0.003172368650512794,,,
2021-04-05,0.003172368650512794,,,
2021-04-06,0.003172368650512794,,,
2021-04-07,0.003172368650512794,,,
2021-04-08,,0.005213993008408689,,
2021-04-09,,0.005213993008408689,,
2021-04-12,,0.005213993008408689,,
2021-04-13,,0.005213993008408689,,
2021-04-14,,0.005213993008408689,,
2021-04-15,,,0.008549469304052967,
2021-04-16,,,0.008549469304052967,
2021-04-19,,,0.008549469304052967,
2021-04-20,,,0.008549469304052967,
2021-04-21,,,0.008549469304052967,
2021-04-22,,,,0.007380442921883351
2021-04-23,,,,0.007380442921883351
2021-04-26,,,,0.007380442921883351
2021-04-27,,,,0.007380442921883351
2021-04-28,,,,0.007380442921883351
2021-04-29,,,,
2021-04-30,,,,
2021-05-03,0.008352283822765098,,,
2021-05-04,0.008352283822765098,,,
2021-05-06,0.008352283822765098,,,
2021-05-07,0.008352283822765098,,,
2021-05-10,0.008352283822765098,,,
2021-05-11,,0.010126293774578896,,
2021-05-12,,0.010126293774578896,,
2021-05-13,,0.010126293774578896,,
2021-05-14,,0.010126293774578896,,
2021-05-17,,0.010126293774578896,,
2021-05-18,,,0.007529949705283504,
2021-05-20,,,0.007529949705283504,
2021-05-21,,,0.007529949705283504,
2021-05-24,,,0.007529949705283504,
2021-05-25,,,0.007529949705283504,
2021-05-26,,,,0.004156555504567354
2021-05-27,,,,0.004156555504567354
