날짜,코스피수익률표준편차(-1~-5),코스피수익률표준편차(-6~-10),코스피수익률표준편차(-11~-15),코스피수익률표준편차(-16~-20)
2017-08-07,0.009611469403581442,0.008049222189292231,0.0018874193364860489,0.003713190424397065
2017-08-08,0.009635613629409786,0.008066044214159197,0.0019253040191461702,0.0035701256819007017
2017-08-09,0.008319114632075946,0.009735850734596848,0.0036811881019144827,0.003544628440855118
2017-08-10,0.008672864638909754,0.00982043446341026,0.00394748366123347,0.0027651540825716072
2017-08-11,0.005625512248159365,0.011731360705131014,0.0036008562971216,0.0018948976807941444
2017-08-14,0.007418294292277788,0.009611469403581442,0.008049222189292231,0.0018874193364860489
2017-08-16,0.008872154983824671,0.009635613629409786,0.008066044214159197,0.0019253040191461702
2017-08-17,0.010241778520877107,0.008319114632075946,0.009735850734596848,0.0036811881019144827
2017-08-18,0.010058258077418947,0.008672864638909754,0.00982043446341026,0.00394748366123347
2017-08-21,0.00992242728462559,0.005625512248159365,0.011731360705131014,0.0036008562971216
2017-08-22,0.004061393156298865,0.007418294292277788,0.009611469403581442,0.008049222189292231
2017-08-23,0.0037657371527427437,0.008872154983824671,0.009635613629409786,0.008066044214159197
2017-08-24,0.003321197234979423,0.010241778520877107,0.008319114632075946,0.009735850734596848
2017-08-25,0.0028350112518288843,0.010058258077418947,0.008672864638909754,0.00982043446341026
2017-08-28,0.0024564192493490493,0.00992242728462559,0.005625512248159365,0.011731360705131014
2017-08-29,0.0031656831682146023,0.004061393156298865,0.007418294292277788,0.009611469403581442
2017-08-30,0.002949033364689775,0.0037657371527427437,0.008872154983824671,0.009635613629409786
2017-08-31,0.003298810435594858,0.003321197234979423,0.010241778520877107,0.008319114632075946
2017-09-01,0.00307953513539053,0.0028350112518288843,0.010058258077418947,0.008672864638909754
2017-09-04,0.002844553901162793,0.0024564192493490493,0.00992242728462559,0.005625512248159365
2017-09-05,0.005432279165831108,0.0031656831682146023,0.004061393156298865,0.007418294292277788
2017-09-06,0.005504622868368463,0.002949033364689775,0.0037657371527427437,0.008872154983824671
2017-09-07,0.0042582829522655585,0.003298810435594858,0.003321197234979423,0.010241778520877107
2017-09-08,0.008311035633870381,0.00307953513539053,0.0028350112518288843,0.010058258077418947
2017-09-11,0.008295599189380881,0.002844553901162793,0.0024564192493490493,0.00992242728462559
2017-09-12,0.006154856274937517,0.005432279165831108,0.0031656831682146023,0.004061393156298865
2017-09-13,0.0057810165096899785,0.005504622868368463,0.002949033364689775,0.0037657371527427437
2017-09-14,0.00560074149203701,0.0042582829522655585,0.003298810435594858,0.003321197234979423
